,Type
⠀⠀⠀       ◼️ TEMP,processes
> TEMP Step 1,processes
> TEMP Step 4,processes
> TEMP Input updates Step 5,processes
> TEMP Step 6,processes
> TEMP Step 8,processes
> TEMP Step 10,processes
> TEMP Step 11,processes
> TEMP Step 12,processes
> TEMP Step 13,processes
>TEMP Cleanup after sync to PROD Step 14,processes
⠀⠀⠀       ◼️ Other,processes
> Update Cijfers [NEW],processes
> Delete KPI's,processes
> Delete Tafels,processes
> Delete Thema's,processes
> Delete Activiteiten,processes
Huidige datum MAIN (Cloudworks),processes
Huidige datum BACKUP (Cloudworks),processes
⠀⠀⠀       ◼️ MJP,processes
> Update subsets,processes
> Update Kostenplaats SS,processes
> Import SIP Anaplan into MJP,processes
> Update Parameters,processes
> Update Organisatie structuur,processes
> Update Account lijst,processes
> Update BPC Data,processes
> Update Hierarchies,processes
> Update Tafel/Thema structuur,processes
> Import historical data SAP BPC (from DH),processes
> Update Subafdeling L6,processes
> Update MJP Kostenplaats L7,processes
> Bulkload budget SS,processes
> Importeer personeelstarieven,processes
> L12 Accounts grouping,processes
> Update KPI's,processes
> Manual Update KPI's,processes
> Manual bulk load boolean KPI's,processes
> Bulkload AC/BU/LE COEA & Formatie,processes
> Create Thema L3+,processes
> Create Thema L3++,processes
> Aanmaken unicode KP/ACC,processes
> Update Cijfers,processes
> Update Toeslag Indirect Data,processes
> Update Activiteit_Kostenplaats,processes
>Import prestatiesoorten from DH,processes
>Import & subload loonkosten,processes
⠀⠀⠀       ◼️ TO BE CHECKED,processes
> Delete Version,processes
> Copy Version,processes
⠀⠀⠀       ◼️ MASTER DATA ACTIONS,imports
DH.00 Load Entiteiten L3 from IM in DH,imports
DH.01 Load Afdelingsgroep L4 from IM in DH,imports
DH.02 Load Afdeling L5 from IM in DH,imports
DH.14 Load Account  L12 from IM in DH,imports
DH.15 Load Parameter data in DA 04 Parameters,imports
DH.16 Load L IC Code from L in DH,imports
DH.17 Load Afdeling L5 SS Staven,imports
DH.18 Load Afdeling L5 SS OPS,imports
DH.19 Load Afdeling L5 SS AGK,imports
DH.20 Load Afdeling L5 SS OPS (NON SIP),imports
DH.21 Load Afdeling L5 SS GM1000,imports
DH.22 Load SAP BPC data from data hub,imports
01.01 Load L #Load Tafel/Thema SIP from M LO 04 [Clear LL],imports
01.02 Load L #Load Tafel/Thema SIP from SIP M EX 08,imports
01.03 Create L SIP Werkstroom L1 from M LO 04,imports
01.04 Create L SIP Tafel L2 from M LO 04,imports
01.05 Create L Product from M LO 04,imports
01.06 Create L SIP Thema L3 from M LO 04,imports
01.07 Create L SIP Activiteit L4 from M LO 04,imports
01.08 Create L SIP Activiteit L4 + from M IM 34,imports
01.09 Load M SIP Data & SIP Afdeling from SIP M EX 10,imports
01.0x Load L #Load Subactiviteit SIP from SIP M EX 09,imports
01.x Create L Subactiviteit from M LO 05,imports
01.x Create L Subactiviteit L6 from M LO 05,imports
01.x Create L Eenheid from M LO 05,imports
KOS 02. Create #L7 Kostenplaats from DH (IM 08.2),imports
KOS 03. Load data in L07 Kostenplaats from DH (IM 08.2),imports
KOS 04. Create Afdeling L5,imports
KOS 05. Update Afdeling L5,imports
KOS 06. Create Subafdeling L6,imports
KOS 07. Update Subafdeling L6,imports
KOS 08. Create Kostenplaats L7,imports
KOS 09. Update MJP Kostenplaats L7,imports
KOS 10. Update all Kostenplaats Display Names,imports
02.03 LO 07 Active SS of Kostenplaats L7,imports
02.04 Load into MJP Kostenplaats list - SS Active,imports
02.05 Update MJP Kostenplaats L7 (Lo 07 ),imports
02.06 Account L12 active SS creation from DH,imports
03.01 Account L12 Grouping from LO 05 mapping,imports
03.02 Account L12 DB/TS ss from IM 01a,imports
⠀⠀⠀       ◼️ MJP ACTIONS,imports
SS.01 Update SS L12 IC,imports
SS.02 Update SS L3 IC,imports
SS.03 Update SS DB/TS,imports
SS.04 Update SS IC,imports
SS.05 Update SS DB/TS,imports
SS.06 Update SS Budget afdeling,imports
SS.07 Update SS Active Account L12,imports
SS.08 Update SS Budget Account L12,imports
SS.09 Update SS Active Kostenplaats L7,imports
SS.10 Update SS Budget Kostenplaats L7,imports
SS.11 Create SS - Account L12 - Allocation,imports
SS.12 Clear SS budget subset lineitem,imports
SS.13 Bulkload Budget SS kostenplaatsen,imports
SIP.01 Load totaal Plan SIP From SIP,imports
SIP.02 Planvariant IM 04 to list Planvarianten,imports
SIP.03 Load SIP E/G split from IP 09,imports
SPP.01 Update LO 03 from SPP EX 01,imports
DATE.01 MAIN datum,imports
DATE.02 BACKUP datum,imports
DATE.03 Datum proces run Import SIP,imports
DATE.04 Datum proces run Update Organisatie Structuur,imports
DATE.05 Datum proces run Update Parameters,imports
DATE.06 Datum proces run Update Account lijst,imports
DATE.07 Datum proces run from Update Hierarchies,imports
UNI.01 Create COEA-KP-ACC list,imports
