,Top Level,Parent Hierarchy,Selective Access,Production Data,Managed By,Has Workflow,Properties,Subsets,Numbered,Display Name Property,Is Organization,Category,Data Tags,Item Count,Notes,Referenced in Applies To,Referenced as Format,Referenced in Formula,Next item index,Use Top Level As Default Page
Users,,,,true,,false,,,false,,false,,,65,,"'└ IP 10a. Verdeling naar grootboekrekening'.Filter Zero, '└ IP 10b. Verdeling naar grootboekrekening - Import', '└ IP 10e. Maand FTE Verdeling naar KP'.afdeling filter test, '└ IP 21a. Input KPI''s - Months'.Afdeling filter, 'IP 25.  IC allocation naar kostenplaats'.Afdeling FIlter, 'CA 11. Verdeling naar Grootboekrekening overzicht'.Filter Zero, 'CA 14. FTE Versie Variance', 'CA 16. Controle Dekking Uren'.Filter afdeling, 'CA 23. Berekend UMDT op L3++ Thema''s'.Filter COE, 'CA 23. Berekend UMDT op L3++ Thema''s'.'COE - Euros Filter', 'CA 23. Berekend UMDT op L3++ Thema''s'.Thema Filter, '└  CA 23a. Allocatie naar Kostenplaats Thema L3 +'.COEA, 'RP 03. DB / TS Overview'.Filter, 'RP 13. UMDT - Afdeling'.Afdeling Filter, 'RP 13. UMDT - Afdeling'.Thema Filter, 'RP 15. UMDT - Afdeling E/G Regio OPEX'.Afdeling Filter, 'RP 15. UMDT - Afdeling E/G Regio OPEX'.Thema Filter, 'RP 18. KPI Waarde over years'.Afdeling filter, 'RP 26. Calculatie seizoenspatronen Totaal', 'RP 21. COEA Versie Variance Totals', 'RP 22. COEA Versie Variance', 'RP 24. FTE Versie Variance Totals', 'FI 03. User Filter Years II', 'FI 02. User Filter Years', 'FI 12. FIlter DB/TS'.'Filter DB/TS', 'FI 08. Versie vergelijking', 'FI 07. User filters - General', '└ FI 07a. User Filters - MJP Drivers L6', '└ FI 07b. User Filters - MJP Drivers L6 & Time', '└ FI 07c. User Filters - Afdeling L5', '└ FI 07d. User Filters - Afdeling L5 SS', '└ FI 07d. User Filters - Afdeling L5 DB/TS', '└ FI 07e. User Filters - KPI', '└ FI 07f. User Filters - Account', '└ FI 07g. User Filters - COEA', '└ FI 07h. User Filters - Kostencategorie', '└ FI 07i. User Filters - COEA-KP-ACC', '└ FI 07j. User Filters - Import Scenario', '└ FI 07k User Filters - Subafdeling L6', '└  FI 07l. User Filters - Tafel L2', '└  FI 07m. User Filters - Activiteit L4 + (UMD)', '└  FI 07n. User Fitlers - Afdeling + Support list', '└  FI 07p. User Filters - Accounts Active SS', '└  FI 07q. User Filters -Kostensoort', '└  FI 07r. User Filters - Thema L3++ & Afdeling', '└  FI 07s. User Filters - COEA Euros', '└  FI 07t. User Filters - Thema', '└  FI 07t. User Filters - Thema L3++', '└ FI 07u. User Filters - MJP Drivers L6 - Budget', '└ FI 07v. User Filters - KPI_Afdelingen', '└ FI 07w. User Filters - Dummy Afdelingen', '└ FI 07x. User Filters - Allocation Thema/Afdeling/COEA', '└ FI 07y. User Filters - Allocation Activiteiten/Afd./COEA', '└ FI 07z. User Filters - Inflation Selection IP10d', '└ FI 07aa. User Filters - Inflation List Selection', '└ FI 07ab. User Filters - Inflation Selection RP20', '└ FI 07ac. User Filters - Suppress Zeroes RP14', '└ FI 07ad. User Filters - Suppress Zeroes RP13', '└ FI 07ae. User Filters - Suppress Zeroes CA 35c', '└ FI 07af. User Filters - Suppress Zeroes IP 10a NEW', '└ FI 07ag. User Filters - Suppress Zeroes OPEX', '└ FI 07ah. User Filters - Suppress Zeroes CAPEX', '└ FI 07ai. User Filters - Activiteit_kostenplaats', '└ FI 07aj. User Filters - Suppress Zeroes RP15', '└ FI 07ak. User Filters - Suppress Zeroes IP 35', '└ FI 07al. User Filters - Suppress Zeroes RP 29', '└ FI 07am. Suppress Zeroes CA 35e.', '└ FI 07an. User Filters MJP Versions - COEA-MJP-ACC', '└ FI 07ba. User Filters - Rekeningcategorie', '└ FI 07bb. User Filters - OPEX Type', '└ FI 07bc. User Filters - Product', '└ FI 07bd. User Filters - Regio', 'FI 09. Driver DB Filter', 'FI 11. Activiteit L4 +', 'FI 16. Filter Prestatiesoort'.Filter subset, 'FI 15. Netverder dashboarding', 'IM 14. Risico''s  & Kansen'.Filter afdeling, 'IM 16. Users', 'IM 37. SIP Activiteit L4 +'.'Tafel L2 Filter', 'IM 37. SIP Activiteit L4 +'.'Thema L3 Filter', 'IM 37. SIP Activiteit L4 +'.Afdeling Filter, 'IM 37. SIP Activiteit L4 +'.Dummy List for UMD, 'IM 37. SIP Activiteit L4 +'.'SS - Activiteit L4+ UMD', 'IM 43. KPI_Afdeling'.Afdeling Filter, 'IM 43. KPI_Afdeling'.'SPIN - KPI FIlter', 'IM 43. KPI_Afdeling'.KPI Cluster Filter, 'IM 43. KPI_Afdeling'.Fitler Verplicht KPI, 'MA 07. Kostenplaats L7 Aggregation mapping - Version based'.'Filter - Niet toegewezen Kostenplaats', 'MA 09. Account L12 aggregation mapping - Version based'.'Filter - Niet toegewezen Account', 'MA 11. Afdeling op L3++'.'Show selected Thema L3', 'MA 11. Afdeling op L3++'.'Filter Themas L3++ in afdeling', 'MA 12.  Afdeling op L4+'.Default Planning User Filter","'IP 22. Create KPI_Afdeling'.Aangemaakt door, 'IM 43. KPI_Afdeling'.Aangemaakt door","'IM 16. Users'.Voornaam, 'IM 16. Users'.Achternaam, 'IM 16. Users'.Bedrijf",325,true
MJP Versions L1,,,true,false,,false,,,false,,false,,,1,HV: Needed?,,'SEC 01. Version Access'.'Version L1',"'└ IP 10b. Verdeling naar grootboekrekening - Import'.'Waarde - collect', '└ IP 10b. Verdeling naar grootboekrekening - Import'.'Waarde - Collect [NEW]', '└ IP 10d. Calculatie seizoenspatronen'.Waarde in Kostenplaats, '└ IP 10d. Calculatie seizoenspatronen'.'Waarde in Account L12', '└ IP 10e. Maand FTE Verdeling naar KP'.Waarde in Kostenplaats, 'IM 34. SIP Activiteit L4'.Geen Q uit SIP?, 'IM 62 Kostenplaats'.Value in budget?",3,false
MJP Versions L2,,MJP Versions L1,true,true,,false,Display Name: Text,,true,Display Name,false,,,3,,"'LO 03. Load SPP Thema''s - FTE''s', 'LO 08. Import SIP Euro', 'DA 01 NEW. Load Plan from SIP', 'DA 03. SRT data Productieve uren', 'DA 30a. Actuals/LE Input UMDT', '└DA 30a. Actuals/LE/Budget Input Afdelingskosten', '└ DA 30b. Actuals/LE Input Formatie', '└ DA 30c. Actuals/LE Input Tafel/Thema', '└ DA 30d. Actuals/LE Input OPEX', '└ DA 30e. Actuals/LE Input Extern', 'DA 36. Loonkosten Afdeling', 'DA 37. Loonkosten Subafdeling', 'DA 01. Total Plan SIP', 'DA 07. Rapportage COEA', 'DA 28. Meerjarenplan Euros per jaar', '└ DA 28a. Meerjarenplan Euros Driver Selectie', '└ DA 28a NEW. Meerjarenplan Euros Driver Selectie', '└ DA 28b. Meerjarenplan Euros SIP Thema selectie', 'DA 29. Meerjarenplan FTEs per jaar', '└ DA 29a. Meerjarenplan FTEs Driver Selectie', '└ DA 31a. Historical Data Grootbookrekening'.Waarde version based, '└ DA 31a. Historical Data Grootbookrekening'.Waarde version based per maand, '└ DA 31b.  Historical Data Aggregated', 'DA 32. UMDT op Afdeling (L4+) -> Rekeningcategorie', 'DA 33 UMDT (L3+ ) op Kostenplaats -> Rekeningcategorie', 'IP 02. IAS16 kosten (cumulatief)', '└IP 02a. IAS16 naar maanden', 'IP 03. Risico & Kansen', '└IP 03a. Naar jaren', 'IP 05. Seizoenspatronen', 'IP 05. Seizoenspatronen - Copy', '└ IP 05a. Seizoenspatronen - Collect', '└ IP 05d. Seizoenspatronen Thema', 'IP 10. Verdeling naar kostenplaatsen', 'IP 10x1. NEW Afdelingkosten naar KP', 'IP 10x2. NEW Handmatig Verdeling naar KP', '└ IP 10a. Verdeling naar grootboekrekening', '└ IP 10a NEW. Verdeling naar grootboekrekening', '└ IP 10c. Selecteer seizoenspatroon', '└ IP 10d. Calculatie seizoenspatronen', '└ IP 10e. Maand FTE Verdeling naar KP', '└ IP 10f. - Gemiddeld tarief FTE per kostenplaatsen', '└ IP 10f. NEW - Jaar FTE tarief/uren per KP', 'IP 11. IC & Leenmonteurs input', '└ IP 11a. Invoer seizoenspatroon IC handmatig', 'IP 13. UMDT op Activiteiten', 'IP 14. Directe toeslagen', 'IP 15. Uurtarieven', 'IP 16. Invoer DB/TS kosten', '└ IP 16a. Invoer DB/TS allocatie', '└ IP 16b. Invoer DB/TS Inflatie', '└ IP 16c. Toeslagen percentages', 'IP 17. UMDT op Kostenplaats', 'IP 18. Doorbelasting & Toeslagen split', '└ IP 18a. Seizoenspatronen - DB/TS', '└ IP 18b. Seizoenspatronen Calculatie Maand', 'IP 19. UMDT op L3++ Thema''s', 'IP 20. UMDT Thema''s op Kostenplaats', 'IP 21. Input KPI''s - MJP', '└ IP 21a. Input KPI''s - Months', 'IP 24. Kostenplaats Doorbelasting Input', 'IP 25.  IC allocation naar kostenplaats', 'IP 26. Leenmmonteurs', 'IP 28. BAK, Subsidie, Overige Omzet', '└IP 28a. BAK, Subsidie Meerjarig', 'IP 29. Seizoenspatroon Activity L4+', 'IP 30. Seizoenspatroon Thema L3++', 'IP 31. Netverder', 'IP 32. Urenschrijvende FTE''s', 'IP 33. Loonkosten', 'IP 34. Personeelskosten naar grootboekrekening', 'IP 35. Personeelskosten handmatig naar grootboekrekening', 'IP 36. Verdeling FTEs naar prestatiesoorten', 'IP 37. Verdeling FTE niet prestatiesoort', 'IP 38. Loonkosten prestatiesoort', 'IP 39. Dekking % Prestatiesoorten', 'IP 40. Input Thema L3++ split', 'IP 41. Input Activiteit L4+ split', 'IP 42. IKT Budget', 'IP 43. IKT Growth', 'IP 44. Dummy Maand Allocatie', 'IP 45. Netverliezen Budget', 'IP 46. Netverliezen Future', 'IP 47. Netverliezen Eigenschappen', 'IP 48. KPI report creation input', 'CA 00. SIP Adjusted', '└CA 00a. SIP- Delta Analyse', 'CA 01. SIP - continued', 'CA 04. FTE naar COEA', 'CA 05. Risico & Kansen', 'CA 06. FTE kosten MJP', 'CA 07. Variante SIP/MJP', 'CA 11. Verdeling naar Grootboekrekening overzicht', 'CA 11 NEW. Verdeling naar Grootboekrekening', '└ CA 11a. Verdeling naar maand overzicht', '└ CA 11a NEW. Verdeling naar maand overzicht', 'CA 14. FTE Versie Variance'.'Collect FS05', 'CA 14. FTE Versie Variance'.Collect in startjaar, 'CA 16. Controle Dekking Uren', 'CA 16 NEW. Controle Dekking COEA', '└CA 16a. Controle UMD vs Thema', 'CA 17. Controle Volledigheid KP/GBR/Maand/Thema', 'CA 18. Invoer seizoenspatroon IC', 'CA 19. Rekeningcategorie Allocatie', '└ CA 19a. Rekening categorie verdeling', 'CA 20. Toeslag Direct', 'CA 21. Berekend UMDT op Activiteit', '└ CA 21a. Allocatie naar Kostenplaats Activiteit L4+', '└ CA 21a NEW. Allocatie naar CC Activiteit L4+ - Copy', '└ CA 21b. UMDT KPI''s', '└ CA 21c. UMDT + Inflatie (L4+)', '└  CA 21d. Activiteit_kostenplaats combinatie', 'CA 22. Berekening Doorbelastingen', '└ CA 22a. Berekening toeslagen', '└ CA 22a. Berekening toeslagen - Copy', '└ CA 22b. Collect toeslagen', '└ CA 22c. Collect indirecte toeslagen', 'CA 23. Berekend UMDT op L3++ Thema''s', '└  CA 23a. Allocatie naar Kostenplaats Thema L3 +', '└ CA 23b. UMDT Thema''s KPI''s', '└ CA 23c. UMDT + Inflatie (L3+)', 'CA 24. Budget Kosten uren uitvoeringskosten-TBD', 'CA 24. MJP Kosten uren uitvoeringskosten', 'CA 25. Budget Uren uitvoeringskosten', 'CA 25. MJP Uren uitvoeringskosten', '└ CA 25a. FTE & Uurtarief input', 'CA 26. Calculatie Toeslag Indirect', 'CA 27. IC Kostenplaats Waarde', 'CA 29. MJP naar Afdelingen', '└  CA 29a. MJP naar Afdeling Collect', 'CA 30. DB/TS naar Kostenplaats', 'CA 30a. DB/TS naar Afdeling', 'CA 31. Toeslag Direct MJP', 'CA 32. Toeslag Indirect MJP', 'CA 32xx. Toeslag Indirect MJP', 'CA 33. Toeslag indirect dekkings controle', 'CA 34. MJP naar thema''s', 'CA 34. MJP naar thema''s - Meerjarig', '└CA 34a MJP thema''s voor RP 10 11 12', 'CA 35. Monthly allocation thema L3 (aggregated)', '└CA 35a. Monthly allocation Activity L4+', '└CA 35b. Monthly allocation Activity L4+ to UMDT', '└CA 35c. Monthly allocation Activity L4+ to UMDT - Copy', '└CA 35d. Monthly allocation Thema L3++', '└CA 35e. Monthly allocation Thema L3++ to UMDT', '└CA 35f. Monthly allocation Thema L3++ to UMDT  to KP', '└CA 35g. Monthly allocation on thema L3', 'CA 36. Doorbelastingen naar Maand', 'CA 37. IC naar GBR/KP', 'CA 38. Toeslagen GBR', 'CA 39. Other Rekeningcategorie GBR', 'CA 42. Materiaal Staging Thema L3++', 'CA 43. Materiaal Staging Activiteit L4+', '└ CA 47a. Versturende Toeslag Indirect Staging', 'CA 49. PY and CY actual drivers', 'CA 48. Personeelskosten naar maand', 'CA 50. Monthly allocation key FSP', 'CA 51. Monthly allocation 5 years', 'CA 52. UMDT - Thema Regio EG', 'CA 53. UMDT - Activiteit Regio EG', 'CA 54. Bezettingsresultaat en dekkingsgraad', 'CA 55. Correctiefactor', 'CA 56. Opslag per uur', 'CA 57. Uurtarief Afdeling', '└CA 57a. Productieve uren', 'CA 58. Uurtarief Subafdeling', 'CA 59. IKT', 'CA 60. Netverliezen Allocatie', 'CA 61. Monthly allocation 5 years Opex/Capex', 'CA 62. MJP naar thema''s Opex/Capex', 'CA 99. Samenvatting', 'DA 04. Parameters FSP', 'DA 03. Inflatie', '└DA 03a. Inflatie (cumulatief)', '└DA 03b. Inflatie ( Merge)', 'CA XX. Inflatie Staging UMD', 'CA 40. BAK Inflatie + Meerjarig', 'CA 41. Netverder Inflatie', '└CA 41a. Netverder Inflatie - Naar rekeningcategori', 'CA 44. Inflatie Staging', 'CA 45. Doorbelasting inflatie staging', 'CA 46 Cost + Inflatie', 'CA 47. Toeslag Inflation Staging', 'RP 01. IC output', 'RP 03. DB / TS Overview', 'RP 06. samenvatting MJP', '└ RP 06a. samenvatting COEA', '└ RP 06b. Variantie Analyse', '└ RP 06c.TOTEX Analyse', 'RP 07. formatie ontwikkeling', '└ RP 07a. Variantie Analyse', 'RP 08. Formatie MJP', '└ RP 08a. Variantie Analyse', 'RP 09. Afdelingskosten', 'RP 10 MJP CAPEX - UMD', '└ RP 10a. MJP CAPEX - Specificatie', '└ RP 10a. MJP CAPEX - LIS Based', 'RP 11. MJP OPEX - UMD', '└ RP 11a. MJP OPEX - Specificatie', '└ RP 11a. MJP OPEX - LIS Based', 'RP 12. MJP EXTERN - UMD', '└ RP 12a. MJP Extern - Specificatie', 'RP 13. UMDT - Afdeling', 'RP 15. UMDT - Afdeling E/G Regio OPEX', 'RP 14. UMDT - Kostenplaats', 'RP 16. MJP Inflatie', 'RP 16 NEW. MJP Inflatie', 'RP 17. KPI Waarde report creation', 'RP 25. Leenmonteur overview', 'RP 18. KPI Waarde over years', '└ RP 18a. Powerpoint KPI''s Waarde', '└ RP 18b. Powerpoint KPI''s Master Data', 'RP 19. Risico & Kansen', 'RP 20. COEA tabel per kostenplaats', 'RP 26. Calculatie seizoenspatronen Totaal', 'RP 29. P&L Overzicht', 'RP 21. COEA Versie Variance Totals'.Waarde startjaar exclusief inflatie, 'RP 21. COEA Versie Variance Totals'.Waarde startjaar inclusief inflatie, 'RP 22. COEA Versie Variance'.Waarde startjaar exclusief inflatie, 'RP 22. COEA Versie Variance'.Waarde startjaar inclusief inflatie, 'RP 23. Controle Dekking Uren', 'RP 24. FTE Versie Variance Totals'.FTE startjaar, 'RP 27. Check report overview', 'RP 30. Controle DB en TS', 'RP 28. Controle Volledigheid GBR/Maand', 'FI 03. User Filter Years II', 'FI.05. Filter Input MJP', 'FI 06. Filter Version', 'FI 10. Activiteit L4 + > Afdelingen', 'FI 04. Read-Only', 'FI 14. Thema L3 filter Calculations', 'FI 18. Allocation Thema/Afdeling/COEA', '└ FI 07c. User Filters - Afdeling L5'.Filter Afdeling OPS SIP, '└  FI 07r. User Filters - Thema L3++ & Afdeling', '└ FI 07x. User Filters - Allocation Thema/Afdeling/COEA', '└ FI 07y. User Filters - Allocation Activiteiten/Afd./COEA', '└ FI 07ac. User Filters - Suppress Zeroes RP14', '└ FI 07ad. User Filters - Suppress Zeroes RP13', '└ FI 07ae. User Filters - Suppress Zeroes CA 35c', '└ FI 07af. User Filters - Suppress Zeroes IP 10a NEW', '└ FI 07ag. User Filters - Suppress Zeroes OPEX', '└ FI 07ah. User Filters - Suppress Zeroes CAPEX', '└ FI 07aj. User Filters - Suppress Zeroes RP15', '└ FI 07ak. User Filters - Suppress Zeroes IP 35', '└ FI 07al. User Filters - Suppress Zeroes RP 29', '└ FI 07am. Suppress Zeroes CA 35e.', '└ FI 07an. User Filters MJP Versions - COEA-MJP-ACC', 'FI 09. Driver DB Filter', 'FI 11. Activiteit L4 +', 'IM 99. Lookup lists'.December budget jaar, 'IM 34. SIP Activiteit L4'.'Afdeling (Version)', 'IM 34. SIP Activiteit L4'.Geen SIP Q geladen in versie?, 'IM 37. SIP Activiteit L4 +', 'MA 05. Automatische allocatie', 'MA 07. Kostenplaats L7 Aggregation mapping - Version based', 'MA 09. Account L12 aggregation mapping - Version based', 'MA 10. Afdeling op Thema''s of Activiteiten', 'MA 11. Afdeling op L3++', 'MA 12.  Afdeling op L4+', 'SET 01. Import Scenario Settings', '└ SET 01a. Import Scenario Settings Monthly', '└ SET 01b. Import Scenario Dashboard Settings', '└ SET 01c. Import Scenatio Dashboard Settings Monthly', 'SE 02. Filter Settings Staven', 'SE 03. Budget settings', 'SET 05. MJP Version Control', 'SET 07. Tijd x Version', 'SET 08. Tijd x Version x Dummy', 'SET 09. Dummy x Tijd x Version', 'DC 00. Data Checks', 'EX 02. Export plan to Powerapps financieel', 'EX 03. Export plan to Powerapps formatie', 'EX 04. Export plan to SAP financieel', 'SEC 01. Version Access', 'SEC 03. Subset Account L12 - Budget Access'.'Waarde per Versie en DA45', 'SEC 03. Subset Account L12 - Budget Access'.Waarde Dummy Versie","'└ FI 06a. Select Versie BWM'.Selecteer BWM Export versie, '└ FI 06a. Select Versie BWM'.Selecteer FSP versie SIP Import, 'FI 01. Filter no dimensions'.Select Versie Budget, 'FI 01. Select Versie Budget'.Selecteer Budget versie, 'FI 01. Select Versie Budget'.Selecteer BWM Export versie, 'FI 08. Versie vergelijking'.'Versie 1', 'FI 08. Versie vergelijking'.'Versie 2', 'FI 07. User filters - General'.FSP Version, 'FI 07. User filters - General'.'Versie 1', 'FI 07. User filters - General'.'Versie 2', 'IM 99. Lookup lists'.Export FSP, 'IM 99. Lookup lists'.Export AAC x UMD, 'SET 05. MJP Version Control'.Item, 'SET 05. MJP Version Control'.Export versie FSP, 'SET 05. MJP Version Control'.Vorige versie MJP?, 'SET 05. MJP Version Control'.Vorige versie, 'SET 06. Version copy control'.Select source version, 'SET 06. Version copy control'.Select target version","'FI 06. Filter Version'.Version BWM?, 'SET 05. MJP Version Control'.Item",408,false
User list,,,false,true,,false,,,false,,false,,,37,,,"'FI 07. User filters - General'.User KPI, '└ FI 07e. User Filters - KPI'.Users, 'IM 13. Afdeling L5'.Hoofd Business Control, 'IM 13. Afdeling L5'.'ABC''er', 'IM 16. Users'.Mapping, 'IM 18. KPI Informatie'.Business Control, 'IM 18. KPI Informatie'.'Handmatig - Business Conrol', 'MA 05. Mapping Afdeling directeuren (Delete After Action)'.Hoofd Business Control, 'MA 05. Mapping Afdeling directeuren (Delete After Action)'.'ABC''er'",,51,false
SIP Planvarianten,,,false,true,,false,Displayname: Text,,true,Displayname,false,,,13,,"'LO 13. Load SIP E/G split', 'LO 02. Load SIP Plan - SIP Planvarianten', 'IM 26. SIP Planvarianten'","'└ CA 07a. Selectie SIP Varianten voor verglijk'.Variant I, '└ CA 07a. Selectie SIP Varianten voor verglijk'.Variant II, 'IM 26. SIP Planvarianten'.ITEM, 'SET 05. MJP Version Control'.SIP Planvariant, 'SET 05. MJP Version Control'.SIP planvariant LTF",'IM 26. SIP Planvarianten'.ITEM,28,false
▶️ 𝗔𝗖𝗖𝗢𝗨𝗡𝗧𝗜𝗡𝗚 ◀️,,,false,false,,false,,,false,,false,,,0,,,,,1,false
Account L12,Totaal Account,,false,true,,false,"Kostensoort GREN: Rekeningcategorie, Dependent dropdown: Account L12, Old code: Text, Boolean","SS - Account L12 - Budget, SS - Account L12 - Used, SS - Account L12 - Active, SS - Account L12 - IC, SS - Account L12 - DB/TS, SS - Account L12 - UMD, SS - Account L12 - Allocation",false,,false,,,7121,,"'└ IP 10b. Verdeling naar grootboekrekening - Import'.Account, '└ IP 10d. Calculatie seizoenspatronen'.'Waarde in Account L12', 'FI 10. Account', 'IM 01. Account L12'","'LO 05. Grouping L12 accounts'.AN List account, 'LO 05. Grouping L12 accounts'.AN Grouped account, 'DA 31. Historical data SAP BPC'.AN Grootboekrekening, 'DA 31. Historical data SAP BPC'.'AN Grouped L12', '└ IP 10b. Verdeling naar grootboekrekening - Import'.Account, '└ IP 10c. Selecteer seizoenspatroon'.Grootboekrekening, 'IP 47. Netverliezen Eigenschappen'.Account, 'CA 18. Invoer seizoenspatroon IC'.'GBR (Versturend L12)', 'CA 18. Invoer seizoenspatroon IC'.'GBR (Ontvangend L12)', '└ FI 07i. User Filters - COEA-KP-ACC'.Account, 'IM 99. Lookup lists'.'Materiaal - Magazijn', 'IM 99. Lookup lists'.'Materiaal - Overig', 'IM 01. Account L12'.ITEM, 'IM 01. Account L12'.Loaded grouping, 'IM 01. Account L12'.Overwrite, 'IM 01. Account L12'.Final Grouping, 'IM 20. COEA-KP-ACC'.Account, 'IM 74. LIS CA21 Mappings'.'Account L12', 'IM 75. LIS CA23 Mappings'.'Account L12', 'MA 08. Acount L12 aggregation mapping'.Item, 'MA 08. Acount L12 aggregation mapping'.Loaded Grouping, 'MA 09. Account L12 aggregation mapping - Version based'.Item, 'MA 09. Account L12 aggregation mapping - Version based'.Loaded Grouping, 'MA 62. Dummy IC'.'L12', 'Account L12'.Dependent dropdown","'LO 05. Grouping L12 accounts'.AN List account, 'LO 05. Grouping L12 accounts'.AN Grouped account, 'DA 31. Historical data SAP BPC'.AN Grootboekrekening, '└ IP 10a NEW. Verdeling naar grootboekrekening'.Verdeling %, '└ IP 10a NEW. Verdeling naar grootboekrekening'.Verdeling, '└ IP 10a NEW. Verdeling naar grootboekrekening'.'ss - Account L12 Split Actuals CY', '└ IP 10a NEW. Verdeling naar grootboekrekening'.'ss - Account L12 Split Actuals LY', '└ IP 10a NEW. Verdeling naar grootboekrekening'.'ss - Account L12 Split Prev. Version', 'CA 38. Toeslagen GBR'.'Allocation L3 Magazijntoeslag', 'CA 38. Toeslagen GBR'.'Allocation L3 OPSS', 'CA 38. Toeslagen GBR'.'Receiving - Indirecte toeslag', 'CA 38. Toeslagen GBR'.'Receiving - Magazijntoeslag', 'CA 38. Toeslagen GBR'.Receiving OPS Support, 'CA 47. Toeslag Inflation Staging'.Toeslag Inflatie, 'IM 01. Account L12'.ITEM, 'IM 01. Account L12'.Loaded grouping, 'IM 01. Account L12'.'SS - Account L12 - IC', 'IM 01. Account L12'.'SS - Account L12 - DB/TS', 'IM 01. Account L12'.'SS - Account L12 - UMD', 'MA 08. Acount L12 aggregation mapping'.Item, 'MA 09. Account L12 aggregation mapping - Version based'.Item, 'MA 62. Dummy IC'.'L12', 'Account L12'.Dependent dropdown",15475,false
Account L12 Flat - IC,,,false,true,,false,,,false,,false,,,3,,'MA 62. Dummy IC','IP 11. IC & Leenmonteurs input'.'GBR [OLD]',"'MA 62. Dummy IC'.Name, 'MA 62. Dummy IC'.Code",4,false
▶️ 𝗢𝗥𝗚𝗔𝗡𝗜𝗭𝗔𝗧𝗜𝗢𝗡 𝗛𝗜𝗘𝗥𝗔𝗥𝗖𝗛𝗬 ◀️,,,false,false,,false,,,false,,true,Organization,,0,,,,,1,false
Entiteit L3,Totaal geconsolideerd,,true,true,,false,KGE: Text,,false,,false,,,48,,"'IM 04. Entiteit', 'MA 14. Mapping IC code en Organization L3 (DAA)'","'IP 11. IC & Leenmonteurs input'.'Tegenpartij -> Entiteit L3', 'FI 07. User filters - General'.Entiteit, 'IM 04. Entiteit'.ITEM, 'IM 05a. Afdelingsgroep'.Entiteit, 'IM 13. Afdeling L5'.Entiteit","'└ DA 28b. Meerjarenplan Euros SIP Thema selectie'.'TOTEX SIP Euro''s', '└ DA 28b. Meerjarenplan Euros SIP Thema selectie'.'OPEX SIP Euro''s', '└ DA 28b. Meerjarenplan Euros SIP Thema selectie'.'CAPEX SIP Euro''s', 'IM 04. Entiteit'.ITEM, 'IM 04. Entiteit'.Is Top Level?",77,false
