,Import Type,Source (file/view id),Source File Name
⠀⠀⠀       ◼️ MASTER DATA ACTIONS,HIERARCHY_DATA,113000000061,.
DH.00 Load Entiteiten L3 from IM in DH,HIERARCHY_DATA,,
DH.01 Load Afdelingsgroep L4 from IM in DH,HIERARCHY_DATA,,
DH.02 Load Afdeling L5 from IM in DH,HIERARCHY_DATA,,
DH.14 Load Account  L12 from IM in DH,HIERARCHY_DATA,,
DH.15 Load Parameter data in DA 04 Parameters,MODULE_DATA,,
DH.16 Load L IC Code from L in DH,HIERARCHY_DATA,,
DH.17 Load Afdeling L5 SS Staven,HIERARCHY_DATA,,
DH.18 Load Afdeling L5 SS OPS,HIERARCHY_DATA,,
DH.19 Load Afdeling L5 SS AGK,HIERARCHY_DATA,,
DH.20 Load Afdeling L5 SS OPS (NON SIP),HIERARCHY_DATA,,
DH.21 Load Afdeling L5 SS GM1000,HIERARCHY_DATA,,
DH.22 Load SAP BPC data from data hub,MODULE_DATA,,
01.01 Load L #Load Tafel/Thema SIP from M LO 04 [Clear LL],HIERARCHY_DATA,,
01.02 Load L #Load Tafel/Thema SIP from SIP M EX 08,HIERARCHY_DATA,,
01.03 Create L SIP Werkstroom L1 from M LO 04,HIERARCHY_DATA,,
01.04 Create L SIP Tafel L2 from M LO 04,HIERARCHY_DATA,,
01.05 Create L Product from M LO 04,HIERARCHY_DATA,,
01.06 Create L SIP Thema L3 from M LO 04,HIERARCHY_DATA,,
01.07 Create L SIP Activiteit L4 from M LO 04,HIERARCHY_DATA,,
01.08 Create L SIP Activiteit L4 + from M IM 34,HIERARCHY_DATA,,
01.09 Load M SIP Data & SIP Afdeling from SIP M EX 10,MODULE_DATA,,
01.0x Load L #Load Subactiviteit SIP from SIP M EX 09,HIERARCHY_DATA,,
01.x Create L Subactiviteit from M LO 05,HIERARCHY_DATA,,
01.x Create L Subactiviteit L6 from M LO 05,HIERARCHY_DATA,,
01.x Create L Eenheid from M LO 05,HIERARCHY_DATA,,
KOS 02. Create #L7 Kostenplaats from DH (IM 08.2),HIERARCHY_DATA,,
KOS 03. Load data in L07 Kostenplaats from DH (IM 08.2),MODULE_DATA,,
KOS 04. Create Afdeling L5,HIERARCHY_DATA,,
KOS 05. Update Afdeling L5,HIERARCHY_DATA,,
KOS 06. Create Subafdeling L6,HIERARCHY_DATA,,
KOS 07. Update Subafdeling L6,HIERARCHY_DATA,,
KOS 08. Create Kostenplaats L7,HIERARCHY_DATA,,
KOS 09. Update MJP Kostenplaats L7,HIERARCHY_DATA,,
KOS 10. Update all Kostenplaats Display Names,HIERARCHY_DATA,,
02.03 LO 07 Active SS of Kostenplaats L7,MODULE_DATA,,
02.04 Load into MJP Kostenplaats list - SS Active,HIERARCHY_DATA,,
02.05 Update MJP Kostenplaats L7 (Lo 07 ),HIERARCHY_DATA,,
02.06 Account L12 active SS creation from DH,HIERARCHY_DATA,,
03.01 Account L12 Grouping from LO 05 mapping,MODULE_DATA,,
03.02 Account L12 DB/TS ss from IM 01a,HIERARCHY_DATA,,
