,Modules,Category,Include New Items?,Notes,Referenced in Applies To,Referenced as Format
LIS (DA 04) Parameters inflatie,DA 04. Parameters FSP,Other,false,,'DA 03. Inflatie',"'IM 70. Kostensoort (Inflatie Mapping)'.Mapping naar Kostensoort, 'IM 72. IAS 16 Inflatie'.Inflatie YOY, 'MA 03. LIS DA04 to Rekeningcategorie'.'LIS DA04'"
LIS (DA 04) Parameters Inflatie (cumulative),DA 04. Parameters FSP,Other,false,,'└DA 03a. Inflatie (cumulatief)',"'IM 70. Kostensoort (Inflatie Mapping)'.'Mapping naar Kostensoort (cumulatief)', 'IM 72. IAS 16 Inflatie'.Inflatie, 'MA 03. LIS DA04 to Rekeningcategorie'.'LIS DA04 (cumulatief)', 'MA 60. LIS (CA 29) MJP to LIS (DA 04) cumulative'.Mapping"
LIS (DA45) Budgetitems,DA 07. Rapportage COEA,Other,false,TBD,"'└ IP 10a. Verdeling naar grootboekrekening', 'CA 11. Verdeling naar Grootboekrekening overzicht', '└ CA 11a. Verdeling naar maand overzicht', 'CA 16. Controle Dekking Uren', 'CA 17. Controle Volledigheid KP/GBR/Maand/Thema'.Nog te verdelen Grootboekrekening per Kostensoort, 'CA 17. Controle Volledigheid KP/GBR/Maand/Thema'.Nog te verdelen Maanden per kostensoort, '└ FI 07h. User Filters - Kostencategorie', 'IM 52. LIS Budgetitems', 'IM 73. Mapping DA 45 -> Kostencategorie', 'SEC 02. COEA/Kosten Access', 'SEC 03. Subset Account L12 - Budget Access'.'Waarde per Versie en DA45'","'└ IP 10a. Verdeling naar grootboekrekening'.Mapping GREN, 'FI 07. User filters - General'.Kostensoort, '└ FI 07f. User Filters - Account'.GREN, '└ IM 01a. Account L12 - used'.Mapping GREN, 'IM 20. COEA-KP-ACC'.Kostensoort"
LIS (IP 05) Verdelingssleutels,IP 05. Seizoenspatronen,Other,false,,"'└ IP 05a. Seizoenspatronen - Collect', '└ IP 05b. Seizoenspatronen - Beschrijving Verdeling'","'└ IP 10c. Selecteer seizoenspatroon'.Seizoenspatroon, '└ IP 10c. Selecteer seizoenspatroon'.Finaal Seizoenspatroon, '└ IP 10c. Selecteer seizoenspatroon'.Finaal seizoenspatroon OLD, 'IM 99. Lookup lists'.Op basis van FTE, 'IM 99. Lookup lists'.Actuals, 'IM 99. Lookup lists'.Automatische Allocatie, 'IM 99. Lookup lists'.Previous MJP"
LIS (IP 05c) Seizoenspatronen - IC,└ IP 05c. Seizoenspatronen - IC,Other,true,Needs to be replaced by a regular list,,'IP 11. IC & Leenmonteurs input'.Seizoenspatroon
LIS (IP 05d) Seizoenspatroon Thema L3,└ IP 05d. Seizoenspatronen Thema,Other,false,,"'└CA 35a. Monthly allocation Activity L4+'.Collect LIS, '└CA 35d. Monthly allocation Thema L3++'.Collect LIS","'IP 29. Seizoenspatroon Activity L4+'.Selecteer seizoenspatroon, 'IP 30. Seizoenspatroon Thema L3++'.Selecteer seizoenspatroon, '└CA 35a. Monthly allocation Activity L4+'.Selected seizoenspatroon, '└CA 35d. Monthly allocation Thema L3++'.Selected seizoenspatroon"
LIS (IP 10new),IP 10x2. NEW Handmatig Verdeling naar KP,Other,false,,'MA 06. NEW. COEA -> Rekeningcategorie',"'IM 99. Lookup lists'.Handmatig, 'IM 99. Lookup lists'.Berekening, 'IM 99. Lookup lists'.Totaal"
LIS (IP 10) MJP,IP 10. Verdeling naar kostenplaatsen,Other,false,,'└ DA 28a. Meerjarenplan Euros Driver Selectie',
LIS (IP 10a) Eigen invoer en Driver waarden GB,└ IP 10a. Verdeling naar grootboekrekening,Other,false,,"'FI 09. Driver DB Filter'.Filter Percentages, 'FI 09. Driver DB Filter'.Filter Values, 'FI 09. Driver DB Filter'.'Filter values <added dimension>'",
LIS (IP 10a NEW) Eigen invoer en Driver waarden GB,└ IP 10a NEW. Verdeling naar grootboekrekening,Other,false,,"'FI 09. Driver DB Filter'.Filter Percentages NEW, 'FI 09. Driver DB Filter'.Filter Values NEW",
