,Format,Formula,Summary,Applies To,Time Scale,Time Range,Versions,Style,Cell Count,Populated Cell Count,Memory Used,Calculation Complexity,Calculation Effort,Notes,Read Access Driver,Write Access Driver,Users List,Parent,Is Summary,Formula Scope,Code,Use Switchover,Breakback,Start of Section,Data Tags,Referenced By,Module Name
OpEx/CapEx,TEXT,#LOAD SIP.'OpEx/CaPex',None,#LOAD SIP,Not Applicable,Model Calendar,Not Applicable,Normal,242,,,,,,,,,,false,All Versions,,true,false,false,,AN OPEX CAPEX,LO 01. Load SIP
Afdeling,TEXT,#LOAD SIP.Afdeling,None,#LOAD SIP,Not Applicable,Model Calendar,Not Applicable,Normal,242,,,,,,,,,,false,All Versions,,true,false,false,,Finditem suppport list,LO 01. Load SIP
Jaar,TEXT,#LOAD SIP.Jaar,None,#LOAD SIP,Not Applicable,Model Calendar,Not Applicable,Normal,242,,,,,,,,,,false,All Versions,,true,false,false,,AN Time,LO 01. Load SIP
Bedrag,NUMBER,#LOAD SIP.Bedrag,None,#LOAD SIP,Not Applicable,Model Calendar,Not Applicable,Normal,242,,,,,,,,,,false,All Versions,,true,false,false,,,LO 01. Load SIP
FTE,NUMBER,#LOAD SIP.FTE,Sum,#LOAD SIP,Not Applicable,Model Calendar,Not Applicable,Normal,243,,,,,,,,,,false,All Versions,,true,false,false,,,LO 01. Load SIP
AN Time,TIME PERIOD,"FINDITEM(Time, Jaar)",None,#LOAD SIP,Not Applicable,Model Calendar,Not Applicable,Normal,242,,,,,,,,,,false,All Versions,,true,false,false,,,LO 01. Load SIP
AN Afdeling,LIST,'IM 71. Support List Dep'.Map to[LOOKUP: Finditem suppport list],None,#LOAD SIP,Not Applicable,Model Calendar,Not Applicable,Normal,242,,,,,,,,,,false,All Versions,,true,false,false,,,LO 01. Load SIP
AN OPEX CAPEX,LIST,"FINDITEM(OPEX CAPEX, 'OpEx/CapEx')",None,#LOAD SIP,Not Applicable,Model Calendar,Not Applicable,Normal,242,,,,,,,,,,false,All Versions,,true,false,false,,,LO 01. Load SIP
Clear?,BOOLEAN,TRUE,None,#LOAD SIP,Not Applicable,Model Calendar,Not Applicable,Normal,242,,,,,,,,,,false,All Versions,,true,false,false,,,LO 01. Load SIP
Finditem suppport list,LIST,"FINDITEM(Support list dep, Afdeling)",None,#LOAD SIP,Not Applicable,Model Calendar,Not Applicable,Normal,242,,,,,,,,,,false,All Versions,,true,false,false,,AN Afdeling,LO 01. Load SIP
Overig Personeel,NUMBER,,Sum,"MJP Versions L2, SIP Thema L3, SS OPEX-CAPEX (only OP/CA), SS Afdeling L5 - OPS (SIP)",Year,TR MJP,Not Applicable,Normal,227448,,,,,,,,,,false,All Versions,,true,false,false,,,LO 03. Load SPP Thema's - FTE's
