,Functional Area,Applies To,Time Scale,Time Range,Versions,Breakback,Users List,Cell Count,Notes,Read Access Driver,Write Access Driver,Data Tags,Managed By,Referenced By,Used in Dashboards,Line Items
⠀⠀⠀       ◼️ Load Modules,,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,0,,,,,,,,
LO 01. Load SIP,DELETE,#LOAD SIP,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,2421,HV: Delete? not in pages nor referenced,,,,,,4.2 SIP Import,"OpEx/CapEx, Afdeling, Jaar, Bedrag, FTE, AN Time, AN Afdeling, AN OPEX CAPEX, Clear?, Finditem suppport list"
LO 03. Load SPP Thema's - FTE's,DATA,"MJP Versions L2, SIP Thema L3, SS OPEX-CAPEX (only OP/CA), SS Afdeling L5 - OPS (SIP)",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,909792,,,,,,'DA 29. Meerjarenplan FTEs per jaar',,"Overig Personeel, Uitvoerend Personeel, Totaal Personeel, Verdeling resterend FTE budget"
LO 04. Load Tafel/Thema SIP,DATA,#Load Tafel/Thema SIP,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,58220,,,,,,"'IM 34. SIP Activiteit L4', 'IM 38. Tafel L2', 'IM 39. Thema L3'",,"Werkstroom, Werkstroom Code, Tafel, Tafel Code, Thema, Thema Code, Thema PAM Product, Thema PAM Product code, Activiteit, Activiteit Code, Activiteit Code - #, Activiteit - Anaplan Code 2026, Activiteit Afdeling, CAPEX/OPEX, In laatste load?, In scope?, In scope? Value, -- Dimensies ---, AN Werkstroom, AN Tafel, AN Thema, AN Activiteit, AN Product, AN COEA, --- FO ---, FO Werkstroom, FO Tafel, FO Thema, FO Activiteit, FO Product, --- Update ---, Update Werkstroom?, Update Tafel?, Update Thema?, Update Activiteit?, Update Product?, --- Maintenance ---, Flag Werkstroom?, Flag Tafel?, Flag Thema?, Flag Activiteit?, --- Technical ---, Clear In Laatste Load, Clear in laatste load 2"
LO 05. Grouping L12 accounts,DATA,#Load Grouping L12 accounts,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,930,Import Source. HV: Delete? not in pages nor referenced. Bring from DH,,,,,,,"List account, Grouped account, AN List account, AN Grouped account"
LO 05. Load Subactiviteit L5 SIP,DATA,#Load Subactiviteit SIP,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,23860,Import Source. Bring from DH,,,,,'IM 35. SIP Subactiviteit L5',,"Subactiviteit, Subactiviteit L5 Code, Subactiviteit L6 Code, Activiteit, Activiteit Code, Activiteit Code -#, Eenheid, in laatste load?, ---DIMENSIONS---, AN Subactiviteit L5, AN Activiteit, AN Subactiviteit L6, AN Eenheid, ---FO---, FO Subactiviteit L5, FO Activiteit, FO Eenheid, ---Update---, Update Subactiviteit L5?, Update Subactiviteit L6?, Update Eenheid?, ---Technical---, Count Subactiviteit L5 Code, Count Subactiviteit L6 Code"
LO 06. Subafdeling,DATA,#Load L6 Subafdeling,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,3675,Import Source. HV: Delete? not in pages nor referenced. Bring from DH,,,,,,,"L - Code Subafdeling, L - Name Subafdeling, L - Code afdeling, L - Display name afdeling, L - Code afdelingsgroup, Name, TECH, Item, List name, Code, Parent Code Load, Parent Display Name in DH, Code created, AN Parent on code, AN Parent on name, AN Parent final, Parent code, Parent does not exist?, Map?, Remap?, Select Parent, AN Subafdeling, Combined filter dashboard, Create?, Create if remapped?, Delete?"
LO 07. Kostenplaats,DATA,#Load L7 Kostenplaats,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,41844,Import Source. HV: Delete? not in pages nor referenced. Bring from DH,,,,,,,"List code, L -Name Afdeling L4, L -Code Afdeling L4, L - Display Name Afdeling L4, L -old code Afdeling L5, L -Code Afdeling L5, L -Display Name Afdeling L5, L -Name Subafdeling L6, L -Code Subafdeling L6, L -Display Name Subafdeling L6, L -Name Kostenplaats L7, L - Code Kostenplaats L7, L -Display Name Kostenplaats L7, L -Active Kostenplaats L7, TECH, AN Afdelingsgroep from code, AN Afdelingsgroep from display name, Overwrite Afdelingsgroep, Final Afdelingsgroep, AN Afdeling from code, AN Afdeling from name, Overwrite Afdeling, FInal Afdeling, Create Afdeling, Code Creation Afdeling L5, Update afdeling, AN Subafdeling from code, Subafdeling concat name, AN Subafdeling from concat name, Overwrite Subafdeling, Final Subafdeling, Create Subafdeling, Update subafdeling, AN Kostenplaats, Display Name AN Kostenplats, Create MJP Kostenplaats, Clear List?, Update MJP Kostenplaats, Parent of Kostenplaats, Parent of Subafdeling, Parent of Afdeling, Afdelingsgroep same?, Afdeling same?, Subafdeling same?, Scope MJP"
LO 08. Import SIP Euro,DATA,"MJP Versions L2, SIP Activiteit L4",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,188838,Import Source,,,,,'IM 34. SIP Activiteit L4',,"P, Q, Afdeling, - Technical -, AN: DNWG, AN Afdeling, [version copy] P, [version copy] Q, [version copy] Afdeling"
LO 09. Load SPIN KPI Data,DATA,#Load SPIN KPIs,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,66276,Import Source,,,,,,,"KPI ID, KPI Name, Organisatie, Eenheid, YTD berekening, Groepering 1, Categorie, BU FY Waarde, LE Waarde, Content Leverancier, Data Leverancier, Business Controller, TYPE Code, Typenaam, Frequentie, -- Dimensies ---, AN KPI, AN Dummy Afdeling, Code KPI, AN YTD Berekening, AN Groepering L1, AN Categorie L2, AN Organisatie, AN Organisatie -> Afdeling, ---FO---, FO KPI, FO YTD Berekening, FO Groepering L1, FO Categorie L2, FO Organisatie, ---Update---, Import into KPI Afdeling, Update KPI, Update YTD Berekening, Update Groepering L1, Update Categorie L2, Update Organisatie, ---Concat---, KPI_Afdeling, AN KPI_Afdeling, FO KPI_Afdeling, Create KPI_Afdeling, KPI_Afdeling Valid?, ---Misc---, Clear Latest Load, Timestamp, Loaded from SPIN?"
LO 10. Load Tarieven personeel,DATA,"MJP Kostenplaats L7, SS - FTE Type FSP, SS Rekeningcategorie - Personeel",Year,MJP BU TR,Not Applicable,New Line Items: Off,Show All Users: On,7904,Import Source,,,,,,,Tarief FTE
LO 11 SIP Thema's L3++,DELETE,#LOAD SIP Thema's L3++,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,672,HV: Delete? not in pages nor referenced,,,,,,,"L - SIP Werkstroom, L - SIP Tafel, L - SIP Thema, L - Hoofdproduct, L - Subproduct, - Technical -, AN Werkstroom, AN Tafel, AN Thema, AN Hoofdproduct, AN Subproduct, Create Hoofdproduct, Create Subproduct"
LO 12. Loonkosten Prestatiesoorten,DATA,#Load loonkosten,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1887,LM: Load module for loonkosten,,,,,,,"Load, Afdeling, Subafdeling, Prestatiesoort, FTE for reference, Loonkosten per FTE per jaar, Transformation, AN Afdeling, AN Subafdeling, Handmatig Afdeling, Handmatig Subafdeling, Final Afdeling, Final Subafdeling, AN Prestatiesoort, Afdeling?, Subafdeling?, Code Final Afdeling, Code FInal Subafdeling, Code Prestatiesoort"
LO 13. Load SIP E/G split,DATA,"SIP Planvarianten, SIP Thema L3, OPEX CAPEX, Product",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,273780,,,,,,"'IP 40. Input Thema L3++ split', 'IP 41. Input Activiteit L4+ split'",,% split
⠀⠀⠀       ◼️ New Load Modules,,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,0,,,,,,,,
LO 02. Load SIP Plan - SIP Planvarianten,DATA,"SIP Planvarianten, SIP Thema L3, OPEX CAPEX, SS Afdeling L5 - OPS (SIP)",Year,TR 20 Y,Not Applicable,New Line Items: Off,Show All Users: On,7665840,,,,,,"'DA 01. Total Plan SIP', 'CA 00. SIP Adjusted', '└CA 00a. SIP- Delta Analyse', 'CA 07. Variante SIP/MJP'",,"Euro - Toaal plan (inclusief besparingen), FTE - Totaal plan (inclusief besparingen)"
DA 01 NEW. Load Plan from SIP,DATA,"MJP Versions L2, SIP Activiteit L4",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,87156,,,,,,,,"Afdeling, P, Q"
DA 02 NEW. Load FTEs from SPP,DATA,"Afdeling L5, SIP Thema L3",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,85536,,,,,,,,FTE
DA 03. SRT data Productieve uren,DATA,"MJP Versions L2, F2 Prestatiesoorten, SS Afdeling L5 - OPS",Year,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,27384,,,,,,,,Productieve uren
DA 34. KPI Afdeling Subload,DATA,SPIN - KPI,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,9218,,,,,,'IM 43. KPI_Afdeling',,"L - KPI Naam, L - Eenheid, L - YTD Berekening, L - Groupering L1, L - Categorie L2, AN YTD Berekening, AN Groupering L1, AN Categorie  L2, AN KPI Naam, AN Eenheid, Load not in list"
DA 12. Load Waardes from SPIN,DATA,#Load SPIN Waardes,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,551191,HV: Rename DA 03 and import items directly in module,,,,,'DA 35. SPIN KPI Waardes',,"Load, L: KPI Naam, L: Afdeling, L: Periode, L: KPI ID, Actuals, Actuals YTD, Budget, Budget YTD, Budget FY, LE, Anaplan, AN: SPIN Organisatie, AN: Afdeling, AN: KPI naam, KPI constructie, AN: Final KPI, AN: Period, -- Technical --, Delete?"
DA 30a. Actuals/LE Input UMDT,DATA,"MJP Versions L2, COEA, SS Afdeling L5 - Budget Afdelingen, SS - Import Scenario - Actuals/LE",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,17640,HV: Load module from PowerApps,,,,,"'RP 10 MJP CAPEX - UMD', 'RP 11. MJP OPEX - UMD', 'RP 12. MJP EXTERN - UMD'",,"Totaal, Omzet, Uren, Materialen, Diensten Derden, Toeslagen"
└DA 30a. Actuals/LE/Budget Input Afdelingskosten,DATA,"MJP Versions L2, SS Afdeling L5 - Budget Afdelingen, SS - Import Scenario - Actuals/LE",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,6468,HV: Load module from PowerApps,,,,,"'CA 99. Samenvatting', 'RP 08. Formatie MJP', 'RP 09. Afdelingskosten'",,"Omzet, Uren, Toeslag Direct, Personeelskosten, Materiaal, Diensten Derden, Overige Kosten, Toeslag Indirect, IC, Doorbelastingen, Totaal"
└ DA 30b. Actuals/LE Input Formatie,DATA,"MJP Versions L2, SS Afdeling L5 - Budget Afdelingen, SS - Import Scenario - Actuals/LE",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,3708,HV: Load module from PowerApps,,,,,"'RP 06. samenvatting MJP', 'RP 07. formatie ontwikkeling', 'RP 08. Formatie MJP'",,"Formatie, Intern FTE, Extern FTE, -, Direct, Kritisch, Intern, Gemiddelde FTE Intern, Gemiddelde Personeelskosten Intern, Extern, Gemiddelde FTE Extern, Gemiddelde Personeelskosten Extern"
└ DA 30c. Actuals/LE Input Tafel/Thema,DATA,"MJP Versions L2, SS Afdeling L5 - Budget Afdelingen, SS - Import Scenario - Actuals/LE",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,12936,HV: Load module from PowerApps,,,,,'└ RP 10a. MJP CAPEX - Specificatie',,"Hoogspanning, Middenspanning, Laagspanning, Druk Cap, Overig Cap, Elektriciteit, Gas, Overig Kwal, Large connections, Reconstructions, Network Expansion, Verwijderen, Metergedreven, Telecom, Netverder, Infradock, Utility Connect, Supply Chain, IT, Rente activering, Overig CAPEX, Totaal"
└ DA 30d. Actuals/LE Input OPEX,DATA,"MJP Versions L2, SS Afdeling L5 - Budget Afdelingen, SS - Import Scenario - Actuals/LE",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,9996,HV: Load module from PowerApps,,,,,"'RP 11. MJP OPEX - UMD', '└ RP 11a. MJP OPEX - Specificatie'",,"Omzet, Hoogspanning, Middenspanning, Laagspanning, Druk Cap, Overig Cap, Elektriciteit, Gas, Overig Kwal, Verwijderen, Large connections, Reconstructions, Network Expansion, Metergedreven, Overig, OPEX ex omzet, OPEX"
└ DA 30e. Actuals/LE Input Extern,DATA,"MJP Versions L2, SS Afdeling L5 - Budget Afdelingen, SS - Import Scenario - Actuals/LE",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1368,HV: Load module from PowerApps,,,,,"'RP 12. MJP EXTERN - UMD', '└ RP 12a. MJP Extern - Specificatie'",,"Omzet, Kosten, Totaal"
DA 31. Historical data SAP BPC,DATA,#Load SAP BPC,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,4088345,HV: Rename DA 04. Will be replaced later this year,,,,,"'└ DA 31a. Historical Data Grootbookrekening', 'IM 01. Account L12', 'IM 62 Kostenplaats', 'MA 07. Kostenplaats L7 Aggregation mapping - Version based', 'MA 08. Acount L12 aggregation mapping', 'MA 09. Account L12 aggregation mapping - Version based', 'MA 61. Kostenplaats L7 Aggregation mapping'",,"Kostenplaats, Entiteit, Grootboekrekening, Soort, Categorie, IC, Periode, Waarde, >TECH<, AN Kostenplaats, Code Kostenplaats, AN Grootboekrekening, Account L12 to be created?, AN Grouped L12, AN Soort, FO Soort, Create Soort?, Period Text, AN Period, FO Period, Create Period?, Year (number), Year, Period number, AN Period date, AN COEA, AN SS Account IC"
DA 36. Loonkosten Afdeling,DATA,"MJP Versions L2, F2 Prestatiesoorten, SS Afdeling L5 - OPS",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,3912,LM: Subload loonkosten for ketens that plan on afdeling,,,,,'IP 38. Loonkosten prestatiesoort',,"Loonkosten, FTE Actuals - voor referentie, Show?"
DA 37. Loonkosten Subafdeling,DATA,"MJP Versions L2, F2 Prestatiesoorten, SS - Subafdeling L6 - OPS",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,0,LM: Subload loonkosten for ketens that plan on subafdeling,,,,,'IP 38. Loonkosten prestatiesoort',,"FTE Actuals - voor referentie, Loonkosten, Value?"
⠀⠀⠀       ◼️ Data Modules,,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,0,,,,,,,,
DA 01. Total Plan SIP,DATA,"MJP Versions L2, SIP Thema L3, SS OPEX-CAPEX (only OP/CA), SS Afdeling L5 - OPS (SIP)",Year,TR LTF,Not Applicable,New Line Items: Off,Show All Users: On,1566864,HV: To reference LO 01 NEW.,,,,,"'└ DA 28b. Meerjarenplan Euros SIP Thema selectie', 'CA 34. MJP naar thema''s', 'CA 34. MJP naar thema''s - Meerjarig', '└ RP 10a. MJP CAPEX - Specificatie', '└ RP 11a. MJP OPEX - Specificatie', 'FI 14. Thema L3 filter Calculations'",,"Euro - Totaal plan (incl besparingen), FTE - Totaal plan (incl besparingen)"
DA 07. Rapportage COEA,DELETE,"MJP Versions L2, Afdeling L5, COEA",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,81480,Remove LIS and delete,,,,,,,"Activering, Omzet, Omzet excl Correctie, Uren - Afdeling, Uren - Leenmonteurs, Uren, Materiaal, Materiaal excl Correctie, Diensten Derden, Toeslag Direct, Toeslag Indirect - Totex, Toeslag Indirect - OPS Support, Toeslag Indirect - Magazijntoeslag, Toeslag Indirect, Personeelskosten Direct, Personeelskosten Indirect, Personeel, Doorbelastingen, Overige Kosten, IC, Totaal, Totaal excl Correctie, Niet IAS16 kosten, Kosten voor verdeling naar Thema, Afdelingskosten exclusief toeslagen, Kosten voor toeslag verhouding, Totaal MJP, Totaal te dekken kosten"
DA 28. Meerjarenplan Euros per jaar,INPUT,"MJP Versions L2, COEA, SS Afdeling L5 - Budget Afdelingen, SS Rekeningcategorie - MJP",Year,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,597093,HV: IP module,,,,,"'CA 24. MJP Kosten uren uitvoeringskosten', 'CA 29. MJP naar Afdelingen'",,"Euro's LY, Groei% Driver, Overwrite Groei%, Final Groeipercentage, Euros, Overwrite Euros, Final Euros, Drivers, Driver SIP Totaal, Driver SIP OPEX, Driver SIP CAPEX, Driver SIP 50%, Technical, Startjaar MJP?, Totex SIP Euros, Opex SIP Euros, Capex SIP Euros, Vrije invoer?, CF Lege driver, CF Vrije invoer, Format 2, Close Totaal MJP"
