,Local Controller,Local Controller (DB/TS),MJP Manager,KPI Controller,Read Only (RO),Check Access? (read if updated)
Processes,,,,,,
⠀⠀⠀       ◼️ TEMP,,,,,,
> TEMP Step 1,,,,,,
> TEMP Step 4,,,,,,
> TEMP Input updates Step 5,,,,,,
> TEMP Step 6,,,,,,
> TEMP Step 8,,,,,,
> TEMP Step 10,,,,,,
> TEMP Step 11,,,,,,
> TEMP Step 12,,,,,,
> TEMP Step 13,,,,,,
>TEMP Cleanup after sync to PROD Step 14,,,,,,
⠀⠀⠀       ◼️ Other,,,,,,
> Update Cijfers [NEW],,,,,,
> Delete KPI's,,,,,,
> Delete Tafels,,,,,,
> Delete Thema's,,,,,,
> Delete Activiteiten,,,,,,
Huidige datum MAIN (Cloudworks),,,,,,
Huidige datum BACKUP (Cloudworks),,,,,,
⠀⠀⠀       ◼️ MJP,,,,,,
> Update subsets,,,,,,
> Update Kostenplaats SS,,,,,,
> Import SIP Anaplan into MJP,,,,,,
> Update Parameters,,,,,,
> Update Organisatie structuur,,,,,,
> Update Account lijst,,,,,,
> Update BPC Data,,,,,,
> Update Hierarchies,,,,,,
> Update Tafel/Thema structuur,,,,,,
> Import historical data SAP BPC (from DH),,,,,,
> Update Subafdeling L6,,,,,,
> Update MJP Kostenplaats L7,,,,,,
> Bulkload budget SS,,,,,,
> Importeer personeelstarieven,,,,,,
> L12 Accounts grouping,,,,,,
> Update KPI's,,,,,,
> Manual Update KPI's,,,,,,
> Manual bulk load boolean KPI's,,,,,,
> Bulkload AC/BU/LE COEA & Formatie,,,,,,
> Create Thema L3+,,,,,,
> Create Thema L3++,,,,,,
> Aanmaken unicode KP/ACC,,,,,,
> Update Cijfers,,,,,,
> Update Toeslag Indirect Data,,,,,,
> Update Activiteit_Kostenplaats,,,,,,
>Import prestatiesoorten from DH,,,,,,
>Import & subload loonkosten,,,,,,
⠀⠀⠀       ◼️ TO BE CHECKED,,,,,,
> Delete Version,,,,,,
> Copy Version,,,,,,
Imports,,,,,,
⠀⠀⠀       ◼️ MASTER DATA ACTIONS,false,false,true,false,false,false
DH.00 Load Entiteiten L3 from IM in DH,false,false,true,false,false,false
DH.01 Load Afdelingsgroep L4 from IM in DH,false,false,true,false,false,false
DH.02 Load Afdeling L5 from IM in DH,false,false,true,false,false,false
DH.14 Load Account  L12 from IM in DH,false,false,true,false,false,false
DH.15 Load Parameter data in DA 04 Parameters,false,false,true,false,false,false
DH.16 Load L IC Code from L in DH,false,false,true,false,false,false
DH.17 Load Afdeling L5 SS Staven,false,false,true,false,false,false
DH.18 Load Afdeling L5 SS OPS,false,false,true,false,false,false
DH.19 Load Afdeling L5 SS AGK,false,false,true,false,false,false
DH.20 Load Afdeling L5 SS OPS (NON SIP),false,false,true,false,false,false
DH.21 Load Afdeling L5 SS GM1000,false,false,true,false,false,false
DH.22 Load SAP BPC data from data hub,false,false,true,false,false,false
01.01 Load L #Load Tafel/Thema SIP from M LO 04 [Clear LL],false,false,true,false,false,false
01.02 Load L #Load Tafel/Thema SIP from SIP M EX 08,false,false,true,false,false,false
01.03 Create L SIP Werkstroom L1 from M LO 04,false,false,true,false,false,false
01.04 Create L SIP Tafel L2 from M LO 04,false,false,true,false,false,false
01.05 Create L Product from M LO 04,false,false,true,false,false,false
01.06 Create L SIP Thema L3 from M LO 04,false,false,true,false,false,false
01.07 Create L SIP Activiteit L4 from M LO 04,false,false,true,false,false,false
01.08 Create L SIP Activiteit L4 + from M IM 34,false,false,true,false,false,false
01.09 Load M SIP Data & SIP Afdeling from SIP M EX 10,false,false,true,false,false,false
01.0x Load L #Load Subactiviteit SIP from SIP M EX 09,false,false,true,false,false,false
01.x Create L Subactiviteit from M LO 05,false,false,true,false,false,false
01.x Create L Subactiviteit L6 from M LO 05,false,false,true,false,false,false
01.x Create L Eenheid from M LO 05,false,false,true,false,false,false
KOS 02. Create #L7 Kostenplaats from DH (IM 08.2),false,false,true,false,false,false
KOS 03. Load data in L07 Kostenplaats from DH (IM 08.2),false,false,false,false,false,false
KOS 04. Create Afdeling L5,false,false,false,false,false,false
KOS 05. Update Afdeling L5,false,false,false,false,false,false
KOS 06. Create Subafdeling L6,false,false,false,false,false,false
KOS 07. Update Subafdeling L6,false,false,false,false,false,false
KOS 08. Create Kostenplaats L7,false,false,false,false,false,false
KOS 09. Update MJP Kostenplaats L7,false,false,false,false,false,false
KOS 10. Update all Kostenplaats Display Names,false,false,false,false,false,false
02.03 LO 07 Active SS of Kostenplaats L7,false,false,true,false,false,false
02.04 Load into MJP Kostenplaats list - SS Active,false,false,true,false,false,false
02.05 Update MJP Kostenplaats L7 (Lo 07 ),false,false,true,false,false,false
02.06 Account L12 active SS creation from DH,false,false,true,false,false,false
03.01 Account L12 Grouping from LO 05 mapping,false,false,true,false,false,false
03.02 Account L12 DB/TS ss from IM 01a,false,false,false,false,false,false
⠀⠀⠀       ◼️ MJP ACTIONS,false,false,true,false,false,false
SS.01 Update SS L12 IC,false,false,true,false,false,false
SS.02 Update SS L3 IC,false,false,true,false,false,false
SS.03 Update SS DB/TS,false,false,true,false,false,false
SS.04 Update SS IC,false,false,true,false,false,false
SS.05 Update SS DB/TS,false,false,true,false,false,false
SS.06 Update SS Budget afdeling,false,false,true,false,false,false
SS.07 Update SS Active Account L12,false,false,true,false,false,false
SS.08 Update SS Budget Account L12,false,false,true,false,false,false
SS.09 Update SS Active Kostenplaats L7,false,false,true,false,false,false
SS.10 Update SS Budget Kostenplaats L7,false,false,true,false,false,false
SS.11 Create SS - Account L12 - Allocation,false,false,false,false,false,false
SS.12 Clear SS budget subset lineitem,false,false,true,false,false,false
SS.13 Bulkload Budget SS kostenplaatsen,false,false,true,false,false,false
SIP.01 Load totaal Plan SIP From SIP,false,false,false,false,false,false
SIP.02 Planvariant IM 04 to list Planvarianten,false,false,false,false,false,false
SIP.03 Load SIP E/G split from IP 09,false,false,false,false,false,false
SPP.01 Update LO 03 from SPP EX 01,false,false,false,false,false,false
DATE.01 MAIN datum,false,false,true,false,false,false
DATE.02 BACKUP datum,false,false,true,false,false,false
DATE.03 Datum proces run Import SIP,false,false,true,false,false,false
DATE.04 Datum proces run Update Organisatie Structuur,false,false,true,false,false,false
DATE.05 Datum proces run Update Parameters,false,false,true,false,false,false
DATE.06 Datum proces run Update Account lijst,false,false,true,false,false,false
DATE.07 Datum proces run from Update Hierarchies,false,false,true,false,false,false
UNI.01 Create COEA-KP-ACC list,true,true,true,false,false,false
UNI.02 COEA-KP-ACC Information to IM 20,true,true,false,false,false,false
└ IP 10a. Verdeling naar gr from MJP - Dev / └ IP 10a. Verde,false,false,true,false,false,false
Account L12 from TEST Code fix.csv,false,false,true,false,false,false
SIP Subactiviteit L5 from MJP - Dev / 'LO 05 Load Subactivit,false,false,true,false,false,false
Dummy IC L12 from MJP - Dev / '└ IM 01a. Account L12 - used',false,false,true,false,false,false
IP 05. Seizoenspatronen from MJP - DEV / '└ IP 10d. Calculat,false,false,true,false,false,false
SIP Tafel L2 from SIP Tafel L2.csv,false,false,true,false,false,false
KPI.01 Import KPI Data to L #Load SPIN KPI's,false,false,true,false,false,false
KPI.02 Update L SPIN - KPI from M LO 09,false,false,true,false,false,false
KPI.03 Update L SPIN - YTD Berekening from M LO 09,false,false,true,false,false,false
KPI.04 Update L SPIN - Groepering L1 from M LO 09,false,false,true,false,false,false
KPI.05 Update L SPIN - Categorie L2 from M LO 09,false,false,true,false,false,false
KPI.06 Update L SPIN - Organisatie from M LO 09,false,false,true,false,false,false
KPI.07 Update L KPI_Afdeling from M LO 09,false,false,true,false,false,false
KPI.08 Subload M IM 42. from M LO 09,false,false,true,false,false,false
KPI.09 Update L SPIN - KPI from M IP 22,true,true,true,false,false,false
KPI.10 Update L KPI_Afdeling from M IP 22,true,true,true,false,false,false
KPI.11 Update M IM43 from M IP 22,true,true,true,false,false,false
KPI.12 Blank out KPI input,true,true,true,false,false,false
KPI 13. Load boolean monitorings KPI.csv,false,false,true,false,false,false
KPI 14. Load boolean Strategische KPI.csv,false,false,true,false,false,false
KPI 15. Load boolean Focus KPI.csv,false,false,true,false,false,false
KPI 16. Load boolean meerjarenplan KPI.csv,false,false,true,false,false,false
KPI 17. Load boolean Financieringsplan KPI.csv,false,false,true,false,false,false
KPI 18. Load boolean LTIP KPI.csv,false,false,true,false,false,false
KPI 19. Load boolean afdeling bsc KPI.csv,false,false,true,false,false,false
KPI 20. Load boolean keten bsc KPI.csv,false,false,true,false,false,false
KPI 21. Load boolean jaarverslag KPI.csv,false,false,true,false,false,false
KPI 22. Load boolean Eenheid KPI.csv,false,false,true,false,false,false
KPI 23. Load boolean bsc groep KPI.csv,false,false,true,false,false,false
KPI 24. Load boolean jaarplan KPI.csv,false,false,true,false,false,false
KPI 26. KPI Afdeling load from LO 09,false,false,true,false,false,false
#Load SPIN Waardes from Upload - SPIN Waardes.csv,false,false,false,false,false,false
DA 30a. Actuals/LE/Budget from ACBULE afdelingskosten load,false,false,true,false,false,false
DA 30b. Actuals/LE Input For from ACBULE formatie load.csv,false,false,true,false,false,false
DA 30c. Actuals/LE Input Tafel/ from ACBULE capex load.csv,false,false,true,false,false,false
DA 30d. Actuals/LE Input OPEX from ACBULE opex load.csv,false,false,true,false,false,false
DA 30e. Actuals/LE Input Exter from ACBULE extern load.csv,false,false,true,false,false,false
DA 30f. Actuals/LE Input U from ACBULE UMDT Capex load.csv,false,false,true,false,false,false
DA 30f. Actuals/LE Input UM from ACBULE UMDT Opex load.csv,false,false,false,false,false,false
