,Local Controller,Local Controller (DB/TS),MJP Manager,KPI Controller,Read Only (RO),Check Access? (read if updated)
⠀⠀⠀       ◼️ Load Modules,None,None,Write,None,Read,Read
LO 01. Load SIP,None,None,Write,None,Read,Read
LO 03. Load SPP Thema's - FTE's,Read,Read,None,None,Read,Read
LO 04. Load Tafel/Thema SIP,None,None,None,None,Read,Read
LO 05. Grouping L12 accounts,None,None,None,None,Read,Read
LO 05. Load Subactiviteit L5 SIP,None,None,None,None,Read,Read
LO 06. Subafdeling,None,None,None,None,Read,Read
LO 07. Kostenplaats,None,None,None,None,Read,Read
LO 08. Import SIP Euro,None,None,None,None,Read,Read
LO 09. Load SPIN KPI Data,None,None,None,None,Read,Read
LO 10. Load Tarieven personeel,None,None,None,None,Read,Read
LO 11 SIP Thema's L3++,None,None,None,None,Read,Read
LO 12. Loonkosten Prestatiesoorten,None,None,None,None,None,None
LO 13. Load SIP E/G split,None,None,None,None,None,None
⠀⠀⠀       ◼️ New Load Modules,None,None,None,None,None,None
LO 02. Load SIP Plan - SIP Planvarianten,Read,Read,None,None,Read,Read
DA 01 NEW. Load Plan from SIP,None,None,None,None,None,None
DA 02 NEW. Load FTEs from SPP,None,None,None,None,None,None
DA 03. SRT data Productieve uren,None,None,None,None,None,None
DA 34. KPI Afdeling Subload,Read,Read,Read,None,Read,Read
DA 12. Load Waardes from SPIN,None,None,None,None,Read,Read
DA 30a. Actuals/LE Input UMDT,Read,Read,None,None,Read,Read
└DA 30a. Actuals/LE/Budget Input Afdelingskosten,Read,Read,None,None,Read,Read
└ DA 30b. Actuals/LE Input Formatie,Read,Read,None,None,Read,Read
└ DA 30c. Actuals/LE Input Tafel/Thema,Read,Read,None,None,Read,Read
└ DA 30d. Actuals/LE Input OPEX,Read,Read,None,None,Read,Read
└ DA 30e. Actuals/LE Input Extern,Read,Read,None,None,Read,Read
DA 31. Historical data SAP BPC,Read,Read,None,None,Read,Read
DA 36. Loonkosten Afdeling,Read,Read,None,None,Read,Read
DA 37. Loonkosten Subafdeling,Read,Read,None,None,Read,Read
⠀⠀⠀       ◼️ Data Modules,None,None,Write,None,Read,Read
DA 01. Total Plan SIP,Read,Read,None,None,Read,Read
DA 07. Rapportage COEA,Write,Write,Write,None,Read,Read
DA 28. Meerjarenplan Euros per jaar,Write,Write,None,None,Read,Read
└ DA 28a. Meerjarenplan Euros Driver Selectie,Write,Write,None,None,Read,Read
└ DA 28a NEW. Meerjarenplan Euros Driver Selectie,Write,Write,None,None,None,None
└ DA 28b. Meerjarenplan Euros SIP Thema selectie,Write,Write,None,None,Read,Read
DA 29. Meerjarenplan FTEs per jaar,Write,Write,None,None,Read,Read
└ DA 29a. Meerjarenplan FTEs Driver Selectie,Write,Write,None,None,Read,Read
└ DA 31a. Historical Data Grootbookrekening,Read,Read,None,None,Read,Read
└ DA 31b.  Historical Data Aggregated,Read,Read,None,None,Read,Read
DA 32. UMDT op Afdeling (L4+) -> Rekeningcategorie,Write,Write,None,None,Read,Read
DA 33 UMDT (L3+ ) op Kostenplaats -> Rekeningcategorie,Write,Write,None,None,Read,Read
DA 35. SPIN KPI Waardes,Write,Write,None,None,Read,Read
⠀⠀⠀       ◼️ INPUT MODULES,None,None,Write,None,Read,Read
IP 02. IAS16 kosten (cumulatief),Write,Write,None,None,Read,Read
└IP 02a. IAS16 naar maanden,Write,Write,None,None,None,None
IP 03. Risico & Kansen,Write,Write,None,None,Read,Read
└IP 03a. Naar jaren,Write,Write,None,None,Read,Read
IP 05. Seizoenspatronen,Write,Write,None,None,Read,Read
IP 05. Seizoenspatronen - Copy,None,None,None,None,None,None
└ IP 05a. Seizoenspatronen - Collect,Write,Write,None,None,Read,Read
└ IP 05b. Seizoenspatronen - Beschrijving Verdeling,Write,Write,None,None,None,None
└ IP 05c. Seizoenspatronen - IC,Write,Write,None,None,Read,Read
└ IP 05d. Seizoenspatronen Thema,Write,Write,None,None,Read,Read
IP 10. Verdeling naar kostenplaatsen,Write,Write,Write,None,Read,Read
IP 10x1. NEW Afdelingkosten naar KP,Write,Write,Write,None,Read,Read
IP 10x2. NEW Handmatig Verdeling naar KP,Write,Write,Write,None,Read,Read
└ IP 10a. Verdeling naar grootboekrekening,Write,Write,Write,None,Read,Read
└ IP 10a NEW. Verdeling naar grootboekrekening,Write,Write,Write,None,Read,Read
└ IP 10b. Verdeling naar grootboekrekening - Import,Write,Write,None,None,Read,Read
└ IP 10c. Selecteer seizoenspatroon,Write,Write,Write,None,Read,Read
└ IP 10d. Calculatie seizoenspatronen,Write,Write,Write,None,Read,Read
└ IP 10e. Maand FTE Verdeling naar KP,Write,Write,Write,None,Read,Read
└ IP 10f. - Gemiddeld tarief FTE per kostenplaatsen,Write,Write,None,None,Read,Read
└ IP 10f. NEW - Jaar FTE tarief/uren per KP,Write,Write,None,None,Read,Read
IP 11. IC & Leenmonteurs input,Write,Write,Write,None,Read,Read
└ IP 11a. Invoer seizoenspatroon IC handmatig,Write,Write,Write,None,Read,Read
IP 12. Dummy Refresh,Write,Write,Write,None,Read,Read
IP 13. UMDT op Activiteiten,Write,Write,Write,None,Read,Read
IP 14. Directe toeslagen,Write,Write,Write,None,Read,Read
IP 15. Uurtarieven,Write,Write,None,None,Read,Read
IP 16. Invoer DB/TS kosten,Read,Write,Write,None,Read,Read
└ IP 16a. Invoer DB/TS allocatie,Read,Write,Write,None,Read,Read
└ IP 16b. Invoer DB/TS Inflatie,Read,Write,Write,None,Read,Read
└ IP 16c. Toeslagen percentages,Read,Read,Write,None,Read,Read
IP 17. UMDT op Kostenplaats,Write,Write,None,None,Read,Read
IP 18. Doorbelasting & Toeslagen split,Read,Write,None,None,Read,Read
└ IP 18a. Seizoenspatronen - DB/TS,Read,Write,None,None,Read,Read
└ IP 18b. Seizoenspatronen Calculatie Maand,Read,Write,None,None,Read,Read
IP 19. UMDT op L3++ Thema's,Write,Write,None,None,Read,Read
IP 20. UMDT Thema's op Kostenplaats,Write,Write,None,None,Read,Read
IP 21. Input KPI's - MJP,Write,Write,None,Read,Read,Read
└ IP 21a. Input KPI's - Months,Write,Write,None,Read,Read,Read
IP 22. Create KPI_Afdeling,Write,Write,None,Read,Read,Read
IP 23. KPI Admin,Write,Write,None,Read,Read,Read
IP 24. Kostenplaats Doorbelasting Input,Write,Write,None,None,Read,Read
IP 25.  IC allocation naar kostenplaats,Write,Write,None,None,Read,Read
IP 26. Leenmmonteurs,Write,Write,None,None,Read,Read
IP 27 Sip Thema L3++,Write,Write,None,None,Read,Read
"IP 28. BAK, Subsidie, Overige Omzet",Write,Write,None,None,Read,Read
"└IP 28a. BAK, Subsidie Meerjarig",Write,Write,None,None,None,None
IP 29. Seizoenspatroon Activity L4+,Write,Write,None,None,Read,Read
IP 30. Seizoenspatroon Thema L3++,Write,Write,None,None,Read,Read
IP 31. Netverder,Write,Write,None,None,None,None
IP 32. Urenschrijvende FTE's,Write,Write,None,None,None,None
IP 33. Loonkosten,Write,Write,Write,None,Read,Read
IP 34. Personeelskosten naar grootboekrekening,Read,Read,Write,None,Read,Read
IP 35. Personeelskosten handmatig naar grootboekrekening,Write,Write,Write,None,Read,Read
IP 36. Verdeling FTEs naar prestatiesoorten,Write,Write,Write,Write,Read,None
IP 37. Verdeling FTE niet prestatiesoort,Write,Write,Write,Write,Read,None
IP 38. Loonkosten prestatiesoort,Write,Write,Write,Write,Read,None
IP 39. Dekking % Prestatiesoorten,Write,Write,Write,Write,Read,None
IP 40. Input Thema L3++ split,Write,Write,Write,Write,Read,None
IP 41. Input Activiteit L4+ split,Write,Write,Write,Write,Read,None
IP 42. IKT Budget,Write,Write,Write,Write,Read,None
IP 43. IKT Growth,Write,Write,Write,Write,Read,None
IP 44. Dummy Maand Allocatie,Write,Write,Write,Write,Read,None
IP 45. Netverliezen Budget,Write,Write,Write,Write,Read,None
IP 46. Netverliezen Future,Write,Write,Write,Write,Read,None
IP 47. Netverliezen Eigenschappen,Write,Write,Write,Write,Read,None
IP 48. KPI report creation input,Write,Write,Write,Write,Read,None
IP 49. Forecast keuze uurtarieven,None,None,None,None,None,None
⠀⠀⠀      ◼️  Calculation Modules,None,None,Write,None,Read,Read
CA 00. SIP Adjusted,None,None,None,None,Read,Read
└CA 00a. SIP- Delta Analyse,None,None,None,None,Read,Read
CA 01. SIP - continued,Read,None,None,None,Read,Read
CA 04. FTE naar COEA,Write,Write,None,None,Read,Read
CA 05. Risico & Kansen,Read,Read,Write,None,Read,Read
CA 06. FTE kosten MJP,Write,Write,None,None,Read,Read
CA 07. Variante SIP/MJP,Read,Read,None,None,Read,Read
└ CA 07a. Selectie SIP Varianten voor verglijk,Write,Write,None,None,Read,Read
CA 11. Verdeling naar Grootboekrekening overzicht,Write,Write,Write,None,Read,Read
CA 11 NEW. Verdeling naar Grootboekrekening,Write,Write,Write,None,Read,Read
└ CA 11a. Verdeling naar maand overzicht,Write,Write,None,None,Read,Read
└ CA 11a NEW. Verdeling naar maand overzicht,Write,Write,None,None,Read,Read
CA 14. FTE Versie Variance,Read,Read,None,None,Read,Read
CA 16. Controle Dekking Uren,Read,Read,None,None,Read,Read
CA 16 NEW. Controle Dekking COEA,Read,Read,None,None,Read,Read
└CA 16a. Controle UMD vs Thema,Read,Read,None,None,None,None
CA 17. Controle Volledigheid KP/GBR/Maand/Thema,Write,Write,Write,None,Read,Read
CA 18. Invoer seizoenspatroon IC,Write,Write,Write,None,Read,Read
CA 19. Rekeningcategorie Allocatie,Write,Write,Write,None,Read,Read
└ CA 19a. Rekening categorie verdeling,Write,Write,Write,None,Read,Read
CA 20. Toeslag Direct,Write,Write,Write,None,Read,Read
CA 21. Berekend UMDT op Activiteit,Write,Write,Write,None,Read,Read
└ CA 21a. Allocatie naar Kostenplaats Activiteit L4+,Write,Write,None,None,Read,Read
└ CA 21a NEW. Allocatie naar CC Activiteit L4+ - Copy,Write,Write,None,None,Read,Read
└ CA 21b. UMDT KPI's,Write,Write,None,None,Read,Read
└ CA 21c. UMDT + Inflatie (L4+),Write,Write,Write,None,Read,Read
└  CA 21d. Activiteit_kostenplaats combinatie,Write,Write,Write,None,Read,Read
CA 22. Berekening Doorbelastingen,Write,Write,Write,None,Read,Read
└ CA 22a. Berekening toeslagen,Write,Write,Write,None,Read,Read
└ CA 22a. Berekening toeslagen - Copy,None,None,None,None,None,None
└ CA 22b. Collect toeslagen,Write,Write,Write,None,Read,Read
└ CA 22c. Collect indirecte toeslagen,None,None,None,None,None,None
CA 23. Berekend UMDT op L3++ Thema's,Write,Write,None,None,Read,Read
└  CA 23a. Allocatie naar Kostenplaats Thema L3 +,Write,Write,None,None,Read,Read
└ CA 23b. UMDT Thema's KPI's,Write,Write,None,None,Read,Read
└ CA 23c. UMDT + Inflatie (L3+),Write,Write,None,None,Read,Read
CA 24. Budget Kosten uren uitvoeringskosten-TBD,Write,Write,None,None,Read,Read
CA 24. MJP Kosten uren uitvoeringskosten,Write,Write,None,None,None,None
CA 25. Budget Uren uitvoeringskosten,Write,Write,None,None,Read,Read
CA 25. MJP Uren uitvoeringskosten,Write,Write,None,None,None,None
└ CA 25a. FTE & Uurtarief input,Write,Write,None,None,Read,Read
CA 26. Calculatie Toeslag Indirect,Write,Write,None,None,Read,Read
CA 27. IC Kostenplaats Waarde,Write,Write,None,None,Read,Read
CA 28. KPI Admin per KPI,Read,Read,Read,None,Read,Read
CA 29. MJP naar Afdelingen,Write,Write,None,None,Read,Read
└  CA 29a. MJP naar Afdeling Collect,Write,Write,None,None,Read,Read
CA 30. DB/TS naar Kostenplaats,Write,Write,None,None,Read,Read
CA 30a. DB/TS naar Afdeling,Write,Write,None,None,Read,Read
CA 31. Toeslag Direct MJP,Write,Write,None,None,Read,Read
CA 32. Toeslag Indirect MJP,Write,Write,None,None,Read,Read
CA 32xx. Toeslag Indirect MJP,None,None,None,None,None,None
CA 33. Toeslag indirect dekkings controle,Write,Write,None,None,Read,Read
CA 34. MJP naar thema's,Write,Write,None,None,Read,Read
CA 34. MJP naar thema's - Meerjarig,Write,Write,None,None,Read,Read
└CA 34a MJP thema's voor RP 10 11 12,Write,Write,None,None,Read,Read
CA 35. Monthly allocation thema L3 (aggregated),Write,Write,Write,None,Read,Read
└CA 35a. Monthly allocation Activity L4+,Write,Write,Write,None,Read,Read
└CA 35b. Monthly allocation Activity L4+ to UMDT,Write,Write,None,None,None,None
└CA 35c. Monthly allocation Activity L4+ to UMDT - Copy,Write,Write,None,None,None,None
└CA 35d. Monthly allocation Thema L3++,Write,Write,Write,None,Read,Read
└CA 35e. Monthly allocation Thema L3++ to UMDT,Write,Write,None,None,None,None
└CA 35f. Monthly allocation Thema L3++ to UMDT  to KP,Write,Write,None,None,None,None
└CA 35g. Monthly allocation on thema L3,Write,Write,None,None,None,None
CA 36. Doorbelastingen naar Maand,Write,Write,None,None,None,None
CA 37. IC naar GBR/KP,Write,Write,None,None,None,None
CA 38. Toeslagen GBR,Write,Write,None,None,None,None
CA 39. Other Rekeningcategorie GBR,Write,Write,None,None,None,None
CA 42. Materiaal Staging Thema L3++,Write,Write,None,None,None,None
CA 43. Materiaal Staging Activiteit L4+,Write,Write,None,None,None,None
└ CA 47a. Versturende Toeslag Indirect Staging,Write,Write,None,None,None,None
CA 49. PY and CY actual drivers,Write,Write,None,None,None,None
CA 48. Personeelskosten naar maand,Write,Write,None,None,None,None
CA 50. Monthly allocation key FSP,None,None,None,None,None,None
CA 51. Monthly allocation 5 years,None,None,None,None,None,None
CA 52. UMDT - Thema Regio EG,Write,Write,None,None,Read,Read
CA 53. UMDT - Activiteit Regio EG,Write,Write,None,None,Read,Read
CA 54. Bezettingsresultaat en dekkingsgraad,Write,Write,None,None,Read,Read
CA 55. Correctiefactor,Read,Read,Read,Read,Read,None
CA 56. Opslag per uur,Read,Read,Read,Read,Read,None
CA 57. Uurtarief Afdeling,Read,Read,Read,Read,Read,None
└CA 57a. Productieve uren,Read,Read,None,None,None,None
CA 58. Uurtarief Subafdeling,Write,Write,None,None,None,None
CA 59. IKT,Read,Read,Read,Read,Read,None
CA 60. Netverliezen Allocatie,Write,Write,None,None,None,None
CA 61. Monthly allocation 5 years Opex/Capex,Read,Read,None,None,None,None
CA 62. MJP naar thema's Opex/Capex,Read,Read,None,None,None,None
CA 99. Samenvatting,Read,Read,None,None,None,None
⠀⠀⠀       ◼️ Inflation Modules,None,None,None,None,None,None
DA 04. Parameters FSP,Read,Read,Write,None,Read,Read
DA 03. Inflatie,Read,Read,None,None,Read,Read
└DA 03a. Inflatie (cumulatief),Read,Read,Write,None,Read,Read
└DA 03b. Inflatie ( Merge),Read,Read,None,None,Read,Read
CA XX. Inflatie Staging UMD,None,None,None,None,None,None
CA 40. BAK Inflatie + Meerjarig,Read,Read,None,None,None,None
CA 41. Netverder Inflatie,Read,Read,None,None,None,None
└CA 41a. Netverder Inflatie - Naar rekeningcategori,Read,Read,None,None,None,None
CA 44. Inflatie Staging,Write,Write,None,None,None,None
CA 45. Doorbelasting inflatie staging,Write,Write,None,None,None,None
CA 46 Cost + Inflatie,Write,Write,None,None,None,None
CA 47. Toeslag Inflation Staging,Write,Write,None,None,None,None
⠀⠀⠀       ◼️ Reporting Modules,None,None,None,None,Read,Read
RP 01. IC output,Read,Read,Read,None,Read,Read
RP 03. DB / TS Overview,Read,Read,Read,None,Read,Read
RP 06. samenvatting MJP,Read,Read,Read,None,Read,Read
└ RP 06a. samenvatting COEA,Read,Read,Read,None,Read,Read
└ RP 06b. Variantie Analyse,Read,Read,Read,None,Read,Read
└ RP 06c.TOTEX Analyse,Read,Read,Read,None,Read,Read
RP 07. formatie ontwikkeling,Read,Read,Read,None,Read,Read
└ RP 07a. Variantie Analyse,Read,Read,Read,None,Read,Read
RP 08. Formatie MJP,Read,Read,Read,None,Read,Read
└ RP 08a. Variantie Analyse,Read,Read,Read,None,Read,Read
RP 09. Afdelingskosten,Read,Read,Read,None,Read,Read
RP 10 MJP CAPEX - UMD,Read,Read,Read,None,Read,Read
└ RP 10a. MJP CAPEX - Specificatie,Read,Read,Read,None,Read,Read
└ RP 10a. MJP CAPEX - LIS Based,Read,Read,Read,None,Read,Read
RP 11. MJP OPEX - UMD,Read,Read,Read,None,Read,Read
└ RP 11a. MJP OPEX - Specificatie,Read,Read,Read,None,Read,Read
└ RP 11a. MJP OPEX - LIS Based,Read,Read,Read,None,Read,Read
RP 12. MJP EXTERN - UMD,Read,Read,Read,None,Read,Read
└ RP 12a. MJP Extern - Specificatie,Read,Read,Read,None,Read,Read
RP 13. UMDT - Afdeling,Read,Read,Read,None,Read,Read
RP 15. UMDT - Afdeling E/G Regio OPEX,Read,Read,None,None,None,None
RP 14. UMDT - Kostenplaats,Read,Read,Read,None,Read,Read
RP 16. MJP Inflatie,Read,Read,Read,None,Read,Read
RP 16 NEW. MJP Inflatie,Read,Read,Read,None,Read,Read
RP 17. KPI Waarde report creation,Read,Read,Read,None,Read,Read
RP 25. Leenmonteur overview,Read,Read,Read,None,Read,Read
RP 18. KPI Waarde over years,Read,Read,Read,Read,Read,Read
└ RP 18a. Powerpoint KPI's Waarde,Read,Read,Read,Read,Read,Read
└ RP 18b. Powerpoint KPI's Master Data,Read,Read,Read,Read,Read,Read
RP 19. Risico & Kansen,Read,Read,None,None,Read,Read
RP 20. COEA tabel per kostenplaats,Write,Write,Read,None,None,None
RP 26. Calculatie seizoenspatronen Totaal,Read,Read,Read,Read,Read,Read
RP 29. P&L Overzicht,Read,Read,None,None,None,None
⠀⠀⠀       ◼️ Controle modules,None,None,None,None,None,None
RP 21. COEA Versie Variance Totals,Write,Write,Read,None,None,None
RP 22. COEA Versie Variance,Write,Write,Read,None,None,None
RP 23. Controle Dekking Uren,Write,Write,Read,None,None,None
RP 24. FTE Versie Variance Totals,Write,Write,Read,None,None,None
RP 27. Check report overview,Read,Read,Read,Read,Read,Read
RP 30. Controle DB en TS,Read,Read,Read,Read,Read,Read
RP 28. Controle Volledigheid GBR/Maand,Read,Read,None,None,None,None
⠀⠀⠀       ◼️  Filter Modules,None,None,Write,None,Read,Read
FI 03. User Filter Years II,Write,Write,Write,None,Read,Read
FI.05. Filter Input MJP,Write,Write,Write,None,Read,Read
FI 06. Filter Version,Write,Write,Write,None,Read,Read
└ FI 06a. Select Versie BWM,Read,Read,Write,None,Read,Read
FI 10. Activiteit L4 + > Afdelingen,Write,Write,None,None,Read,Read
FI 01. Filter no dimensions,Write,Write,Write,None,Read,Read
FI 01. Select Versie Budget,Read,Read,None,None,Read,Read
FI 02. User Filter Years,Write,Write,Write,None,Read,Read
FI 10. Account,Write,Write,Write,None,Read,Read
FI 04. Read-Only,Write,Write,Write,None,Read,Read
FI 12. FIlter DB/TS,Write,Write,None,None,Read,Read
FI 14. Thema L3 filter Calculations,Write,Write,None,None,Read,Read
FI 16. Filter SS Afdeling L5 - Budget Afdelingen,Write,Write,None,None,None,None
FI 17. Account L12 - budget - COEA,Read,Read,None,None,Read,Read
FI 18. Allocation Thema/Afdeling/COEA,Read,Read,None,None,None,None
⠀⠀⠀       ◼️  User Filter Modules,None,None,None,None,None,None
FI 08. Versie vergelijking,Write,Write,None,None,Read,Read
FI 07. User filters - General,Write,Write,Write,None,Read,Read
└ FI 07a. User Filters - MJP Drivers L6,Write,Write,Write,None,Read,Read
