,ID,Module ID,Code
⠀⠀⠀       ◼️ Load Modules,102000000045,102000000045,
LO 01. Load SIP,102000000017,102000000017,
'LO 01. Load SIP'.'V723723',292000000000,102000000017,
'LO 01. Load SIP'.'SV2',292000000001,102000000017,
LO 03. Load SPP Thema's - FTE's,102000000798,102000000798,
LO 04. Load Tafel/Thema SIP,102000000972,102000000972,
'LO 04. Load Tafel/Thema SIP'.'01.01 Load L #Load Tafel/Thema SIP from M LO 04 [Clear LL]',2591000000000,102000000972,
'LO 04. Load Tafel/Thema SIP'.'01.03 Create L SIP Werkstroom L1 from M LO 04',2591000000001,102000000972,
'LO 04. Load Tafel/Thema SIP'.'01.04 Create L SIP Tafel L2 from M LO 04',2591000000002,102000000972,
'LO 04. Load Tafel/Thema SIP'.'01.05 Create L Product from M LO 04',2591000000003,102000000972,
'LO 04. Load Tafel/Thema SIP'.'01.06 Create L SIP Thema L3 from M LO 04',2591000000004,102000000972,
'LO 04. Load Tafel/Thema SIP'.'01.07 Create L SIP Activiteit L4 from M LO 04',2591000000005,102000000972,
LO 05. Grouping L12 accounts,102000000947,102000000947,
'LO 05. Grouping L12 accounts'.'LO 05.1 Grouping L12 accounts',2519000000000,102000000947,
'LO 05. Grouping L12 accounts'.'LO 05.1 Push grouping to IM 01',2519000000001,102000000947,
LO 05. Load Subactiviteit L5 SIP,102000000974,102000000974,
'LO 05. Load Subactiviteit L5 SIP'.'01.09 Create L Subactiviteit from M LO 05',2597000000000,102000000974,
'LO 05. Load Subactiviteit L5 SIP'.'01.10 Create L Subactiviteit L6 from M LO 05',2597000000001,102000000974,
'LO 05. Load Subactiviteit L5 SIP'.'01.11 Create L Eenheid from M LO 05',2597000000002,102000000974,
LO 06. Subafdeling,102000000968,102000000968,
'LO 06. Subafdeling'.'LO 06.1 Create subafdeling',2571000000002,102000000968,
'LO 06. Subafdeling'.'LO 06.2 Update subafdeling',2571000000003,102000000968,
LO 07. Kostenplaats,102000000969,102000000969,
'LO 07. Kostenplaats'.'LO 07.1 Create Afdeling L5',2575000000005,102000000969,
'LO 07. Kostenplaats'.'LO 07.2 Update Afdeling L5',2575000000008,102000000969,
'LO 07. Kostenplaats'.'LO 07.3 Create Subafdeling L6',2575000000006,102000000969,
'LO 07. Kostenplaats'.'LO 07.4 Update Subafdeling L6',2575000000009,102000000969,
'LO 07. Kostenplaats'.'LO 07.5 Create Kostenplaats L7',2575000000007,102000000969,
'LO 07. Kostenplaats'.'LO 07.6 Update Kostenplaats L7',2575000000000,102000000969,
'LO 07. Kostenplaats'.'LO 07.7 Update Display Name all Kostenplaatsen',2575000000011,102000000969,
LO 08. Import SIP Euro,102000000976,102000000976,
'LO 08. Import SIP Euro'.'LO 08.1 [version copy] Import SIP Euro',2606000000000,102000000976,
LO 09. Load SPIN KPI Data,102000001027,102000001027,
'LO 09. Load SPIN KPI Data'.'1. Update KPI',2725000000003,102000001027,
'LO 09. Load SPIN KPI Data'.'2. Update YTD Berekening',2725000000000,102000001027,
'LO 09. Load SPIN KPI Data'.'3. Update Groepering L1',2725000000001,102000001027,
'LO 09. Load SPIN KPI Data'.'4.. Update Categorie L2',2725000000002,102000001027,
'LO 09. Load SPIN KPI Data'.'5. Update Organisatie',2725000000004,102000001027,
'LO 09. Load SPIN KPI Data'.'6. Update KPI_Afdeling',2725000000005,102000001027,
'LO 09. Load SPIN KPI Data'.'07. Subload to IM 42.',2725000000006,102000001027,
'LO 09. Load SPIN KPI Data'.'08. Subload to DA 34.',2725000000007,102000001027,
'LO 09. Load SPIN KPI Data'.'LO 09.x Load SPIN KPI Data',2725000000008,102000001027,
LO 10. Load Tarieven personeel,102000001042,102000001042,
LO 11 SIP Thema's L3++,102000001082,102000001082,
LO 12. Loonkosten Prestatiesoorten,102000001307,102000001307,
